RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,fixation_1.started,fixation_1.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,12,12,12,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,6,"[0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,13,13,13,,,,,,,,,None,None,0,120.23531899997033,None,120.23531899997033,None,None,None,0,0,120.23531899997033,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,8,"[0, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,14,14,14,,,,,,,,,None,None,0,120.41865150001831,None,120.41865150001831,121.41853100003209,121.402013599989,122.40199110005051,0,1,120.41865150001831,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,15,15,15,,,,,,,,,None,None,0,122.41865670005791,None,122.41865670005791,123.41866960003972,123.40200620004907,124.40200320002623,0,1,122.41865670005791,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,16,16,16,,,,,,,,,None,None,0,124.41868530004285,None,124.41868530004285,125.41868969995994,125.4020395000698,126.40203110000584,0,1,124.41868530004285,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,17,17,17,,,,,,,,,None,None,0,126.41870260005817,None,126.41870260005817,127.41870839998592,127.40205250005238,128.4020554999588,0,1,126.41870260005817,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,18,18,18,,,,,,,,,None,None,0,128.41871040000115,None,128.41871040000115,129.4187768000411,129.4020664000418,130.40204890002497,0,1,128.41871040000115,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,19,19,19,,,,,,,,,None,None,0,130.41872820002027,None,130.41872820002027,131.41873629996553,131.40207860001829,132.4020801000297,0,1,130.41872820002027,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,3,"[0.2, 0.2]",1,0,0,0,0,,,,,0,0,0,0,0,20,20,20,,,,,,,,,None,None,0,132.41874460002873,None,132.41874460002873,133.41875289997552,133.4020704999566,134.4020946000237,0,1,132.41874460002873,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,4,"[-0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,21,21,21,,,,,,,,,None,None,0,134.41873589996248,None,134.41873589996248,135.41875219997019,135.40210269996896,136.40209290001076,0,1,134.41873589996248,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
