RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,fixation_1.started,fixation_1.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,28,28,28,,,,,,,,,None,None,0,134.08197920001112,None,134.08197920001112,135.08199069998227,135.06532769999467,136.06533090001903,0,1,134.08197920001112,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,6,"[0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,29,29,29,,,,,,,,,None,None,0,136.08202370000072,None,136.08202370000072,137.0820068999892,137.06532439996954,138.06533599994145,0,1,136.08202370000072,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,30,30,30,,,,,,,,,None,None,0,138.08200940000825,None,138.08200940000825,139.08202540001366,139.06534059997648,140.0653578999918,0,1,138.08200940000825,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,31,31,31,,,,,,,,,None,None,0,140.08201869996265,None,140.08201869996265,141.0820345999673,141.06537179998122,142.06538060004823,0,1,140.08201869996265,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,6,"[0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,32,32,32,,,,,,,,,None,None,1,142.08205069997348,None,142.08205069997348,143.08205179998185,143.0653723999858,144.06539590004832,1,1,142.08205069997348,None,0.900300299981609,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,2,"[0, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,33,33,33,,,,,,,,,None,None,0,144.08205680001993,None,144.08205680001993,145.0820511999773,145.0653905000072,146.06540399999358,0,1,144.08205680001993,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,34,34,34,,,,,,,,,None,None,0,146.0820745000383,None,146.0820745000383,147.08207819995005,147.06541849998757,148.06542670005,0,1,146.0820745000383,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,4,"[-0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,35,35,35,,,,,,,,,None,None,0,148.08211810002103,None,148.08211810002103,149.0820703000063,149.06541459995788,150.06543529999908,0,1,148.08211810002103,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,4,"[-0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,36,36,36,,,,,,,,,None,None,1,150.082103200024,None,150.082103200024,151.08210330002476,151.06544669996947,152.06545200000983,1,0,150.082103200024,None,1.400344599969685,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,37,37,37,,,,,,,,,None,None,0,152.08212729997467,None,152.08212729997467,153.08213460003026,153.06545670004562,154.06547329993919,0,1,152.08212729997467,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,4,"[-0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,38,38,38,,,,,,,,,None,None,1,154.082117700018,None,154.082117700018,155.08214780001435,155.0654791999841,156.06547699996736,1,1,154.082117700018,None,1.0003507999936119,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,39,39,39,,,,,,,,,None,None,0,156.08215230004862,None,156.08215230004862,157.0821535999421,157.0654887999408,158.06549980002455,0,1,156.08215230004862,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,40,40,40,,,,,,,,,None,None,0,158.08217339997645,None,158.08217339997645,159.0821698999498,159.06551119999494,160.06551460002083,0,1,158.08217339997645,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,3,"[0.2, 0.2]",1,0,0,0,0,,,,,0,0,0,0,0,41,41,41,,,,,,,,,None,None,1,160.0821816000389,None,160.0821816000389,161.08219510002527,161.0655694999732,162.06552519998513,1,1,160.0821816000389,None,0.8336742999963462,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,42,42,42,,,,,,,,,None,None,0,162.0821979000466,None,162.0821979000466,163.08223569998518,163.06555589998607,164.0655399999814,0,1,162.0821979000466,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,43,43,43,,,,,,,,,None,None,0,164.08222149999347,None,164.08222149999347,165.08222670003306,165.06555960001424,166.06557330000214,0,1,164.08222149999347,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,44,44,44,,,,,,,,,None,None,1,166.08223159995396,None,166.08223159995396,167.08223780000117,167.0655663999496,168.065588700003,1,0,166.08223159995396,None,0.8669819000642747,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,8,"[0, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,45,45,45,,,,,,,,,None,None,0,168.0822274000384,None,168.0822274000384,169.082255300018,169.0655915000243,170.06558910000604,0,1,168.0822274000384,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,46,46,46,,,,,,,,,None,None,0,170.08226699999068,None,170.08226699999068,171.08226549997926,171.0655997999711,172.0656323999865,0,1,170.08226699999068,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,47,47,47,,,,,,,,,None,None,0,172.08228470000904,None,172.08228470000904,173.08227230003104,173.0656333999941,174.06563620001543,0,1,172.08228470000904,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,6,"[0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,48,48,48,,,,,,,,,None,None,1,174.0822829999961,None,174.0822829999961,175.08230180002283,175.0656310999766,176.06563910003752,1,1,174.0822829999961,None,0.7169584999792278,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,49,49,49,,,,,,,,,None,None,0,176.082344800001,None,176.082344800001,177.08231460000388,177.06565789994784,178.0656536000315,0,1,176.082344800001,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,50,50,50,,,,,,,,,None,None,0,178.08233310002834,None,178.08233310002834,179.0823535999516,179.06565829995088,180.0656605999684,0,1,178.08233310002834,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,5,"[0, 0]",1,0,0,0,0,,,,,0,0,0,0,0,51,51,51,,,,,,,,,None,None,1,180.08233819995075,None,180.08233819995075,181.08236100000795,181.06567489996087,182.06568370002788,1,1,180.08233819995075,None,0.9669774000067264,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,52,52,52,,,,,,,,,None,None,0,182.0823561999714,None,182.0823561999714,183.08235819998663,183.06556210003328,184.06570489995647,0,1,182.0823561999714,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,53,53,53,,,,,,,,,None,None,0,184.0823745999951,None,184.0823745999951,185.08237780001946,185.06570030003786,186.0657221999718,0,1,184.0823745999951,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,54,54,54,,,,,,,,,None,None,0,186.08230929996353,None,186.08230929996353,187.08240189997014,187.0657234999817,188.06559609994292,0,1,186.08230929996353,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
