square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,response_2.rt_left,response_2.rt_right,response.rt_left,response.rt_right,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,425.4005079999333,None,425.4005079999333,426.4005406999495,426.3838312999578,427.38384989998303,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,425.4005079999333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,427.4005069999257,None,427.4005069999257,428.40051029995084,428.38386039994657,429.38386750000063,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,427.4005069999257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
3,"[0.2, 0.2]",0,0,23,23,23,,,,,,,429.4005088999402,None,429.4005088999402,430.4005329000065,430.38386019994505,431.3838684000075,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,429.4005088999402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
2,"[0, 0.2]",0,0,24,24,24,,,,,,,431.4004363999702,None,431.4004363999702,432.40056460001506,432.38389509997796,433.38390109990723,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,431.4004363999702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,433.4005579999648,None,433.4005579999648,434.40057209995575,434.38391579990275,435.38390959997196,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,433.4005579999648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,435.400591099984,None,435.400591099984,436.40058839996345,436.3839327999158,437.3839324999135,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,435.400591099984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,437.40052969998214,None,437.40052969998214,438.4006141999271,438.38393879996147,439.38394510000944,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,437.40052969998214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,439.40060759999324,None,439.40060759999324,440.400588999968,440.38395960000344,441.38395829999354,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,439.40060759999324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
6,"[0.2, 0]",0,0,29,29,29,,,,,,,441.40063839999493,None,441.40063839999493,442.40062329999637,442.3839674999472,443.3839844999602,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,441.40063839999493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,443.43399389996193,None,space,443.43399389996193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
