RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,99,99,99,,,,,,,,,,,None,None,0,610.0279248000006,None,610.0279248000006,611.0279364000307,611.0112702000188,612.0113009000197,0,1,610.0279248000006,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,100,100,100,,,,,,,,,,,None,None,0,612.0279509000247,None,612.0279509000247,613.0279480000027,613.0112976999953,614.0113017000258,0,1,612.0279509000247,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,3,"[0.2, 0.2]",1,0,1,1,1,,,,,0,0,0,0,0,101,101,101,,,,,,,,,,,None,None,0,614.0279517000308,None,614.0279517000308,615.0279662000248,615.0113171000266,616.0113046999904,0,1,614.0279517000308,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,102,102,102,,,,,,,,,,,None,None,0,616.0279666000279,None,616.0279666000279,617.0279829000356,617.0113336000359,618.0113321000244,0,1,616.0279666000279,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,103,103,103,,,,,,,,,,,None,None,0,618.0279907000368,None,618.0279907000368,619.0279930999968,619.0113463000162,620.0113421999849,0,1,618.0279907000368,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,104,104,104,,,,,,,,,,,None,None,0,620.0280228999909,None,620.0280228999909,621.0279463999905,621.0113583999919,622.011364200036,0,1,620.0280228999909,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,105,105,105,,,,,,,,,,,None,None,0,622.0280380999902,None,622.0280380999902,623.0280364000355,623.0113631000277,624.0113676000037,0,1,622.0280380999902,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,106,106,106,,,,,,,,,,,None,None,0,624.0280346000218,None,624.0280346000218,625.0280431000283,625.0113843000145,626.0113842000137,0,1,624.0280346000218,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,107,107,107,,,,,,,,,,,None,None,0,626.0280500000226,None,626.0280500000226,627.0280588000314,627.011386600032,628.0113980000024,0,1,626.0280500000226,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,108,108,108,,,,,,,,,,,None,None,0,628.0280752000399,None,628.0280752000399,629.0280713000102,629.0114082000218,630.011315700016,0,1,628.0280752000399,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,109,109,109,,,,,,,,,,,None,None,0,630.0280768999946,None,630.0280768999946,631.0280901000369,631.011420099996,632.0114395000273,0,1,630.0280768999946,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,110,110,110,,,,,,,,,,,None,None,0,632.0281079999986,None,632.0281079999986,633.0281038000248,633.0114408000372,634.0114451000118,0,1,632.0281079999986,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,5,"[0, 0]",1,0,1,1,1,,,,,0,0,0,0,0,111,111,111,,,,,,,,,,,None,None,0,634.0281094000093,None,634.0281094000093,635.0281171000097,635.0114715000382,636.011482700007,0,1,634.0281094000093,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,112,112,112,,,,,,,,,,,None,None,0,636.0281310999999,None,636.0281310999999,637.0281609999947,637.011486900039,638.0114898000029,0,1,636.0281310999999,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,113,113,113,,,,,,,,,,,None,None,0,638.0281465000007,None,638.0281465000007,639.0281617,639.0114937000326,640.0115059000091,0,1,638.0281465000007,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,114,114,114,,,,,,,,,,,None,None,0,640.0281622000039,None,640.0281622000039,641.0281654000282,641.0115142000141,642.0115121999988,0,1,640.0281622000039,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,115,115,115,,,,,,,,,,,None,None,0,642.0281792000169,None,642.0281792000169,643.0281882000272,643.0115345999948,644.0115256999852,0,1,642.0281792000169,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,116,116,116,,,,,,,,,,,None,None,1,644.0281938000116,None,644.0281938000116,645.0281990999938,645.0115459000226,646.0115483000409,1,1,644.0281938000116,None,1.2003274000016972,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,117,117,117,,,,,,,,,,,None,None,0,646.0282064999919,None,646.0282064999919,647.0282189000282,647.0115624000318,648.0115665000048,0,1,646.0282064999919,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,118,118,118,,,,,,,,,,,None,None,0,648.0282295999932,None,648.0282295999932,649.0282262000255,649.0115768000251,650.011588399997,0,1,648.0282295999932,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,119,119,119,,,,,,,,,,,None,None,0,650.0282561000204,None,650.0282561000204,651.0282478000154,651.0115986000164,652.0116334999911,0,1,650.0282561000204,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
