square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,response.rt_left,response.rt_right,response_2.rt_left,response_2.rt_right,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,238.05368429981172,None,238.05368429981172,239.05369329964742,239.0370428999886,240.0370628000237,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,238.05368429981172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,240.05370729975402,None,240.05370729975402,241.05371569981799,241.03703619958833,242.03697909973562,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,240.05370729975402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
6,"[0.2, 0]",0,0,29,29,29,,,,,,,242.05371319968253,None,242.05371319968253,243.05374109977856,243.03708569984883,244.03708549961448,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,242.05371319968253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,244.07040959969163,None,space,244.07040959969163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
6,"[0.2, 0]",None,,,,,0,0,0,0,315.12094989977777,None,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",316.1542667998001,None,316.1542667998001,317.1542799999006,317.120954899583,318.1209474997595,"[0, 0, 0]",1,316.1542667998001,None,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
7,"[-0.2, -0.2]",None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",318.13759589986876,320.1376249999739,318.13759589986876,319.13760549994186,319.1209738999605,320.12097319960594,"[0, 0, 0]",1,318.13759589986876,320.1376249999739,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
6,"[0.2, 0]",1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",320.1543053998612,322.1542933997698,320.1543053998612,321.1543141999282,321.1376135000028,322.13765669986606,"[0, 0, 0]",1,320.1543053998612,322.1542933997698,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
2,"[0, 0.2]",0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",322.17097829980776,324.1710508996621,322.17097829980776,323.17098559997976,323.15431629959494,324.15431389957666,"[0, 0, 0]",1,322.17097829980776,324.1710508996621,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
5,"[0, 0]",0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",324.18769719963893,326.1876812996343,324.18769719963893,325.18765039974824,325.17099539982155,326.1709954999387,"[0, 0, 0]",1,324.18769719963893,326.1876812996343,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
4,"[-0.2, 0]",0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",326.2043395997025,328.2043862999417,326.2043395997025,327.2213749997318,327.1876962999813,328.1877238997258,"[0, 0, 0]",1,326.2043395997025,328.2043862999417,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
4,"[-0.2, 0]",0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",328.2210305999033,330.22104649990797,328.2210305999033,329.2210501995869,329.2043891996145,330.20438959961757,"[0, 0, 0]",1,328.2210305999033,330.22104649990797,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
7,"[-0.2, -0.2]",0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",330.2377075999975,332.23772069998085,330.2377075999975,331.23771040001884,331.22105709975585,332.22107049962506,"[0, 0, 0]",1,330.2377075999975,332.23772069998085,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
4,"[-0.2, 0]",1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",332.2543984996155,334.25440179975703,332.2543984996155,333.25441199960187,333.2377345999703,334.23772659990937,"[0, 0, 0]",1,332.2543984996155,334.25440179975703,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
3,"[0.2, 0.2]",0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",334.27107959985733,336.2710976996459,334.27107959985733,335.2710821996443,335.2544092996977,336.2544227996841,"[0, 0, 0]",1,334.27107959985733,336.2710976996459,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
5,"[0, 0]",0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",336.28776249988005,338.28775339992717,336.28776249988005,337.28774399962276,337.27109439997,338.2710924996063,"[0, 0, 0]",1,336.28776249988005,338.28775339992717,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
3,"[0.2, 0.2]",1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",338.30440709972754,340.3044364997186,338.30440709972754,339.3044133000076,339.28778339968994,340.28777379961684,"[0, 0, 0]",1,338.30440709972754,340.3044364997186,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
1,"[-0.2, 0.2]",0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",340.32112909993157,342.32113319961354,340.32112909993157,341.32113950001076,341.30444789957255,342.3044368997216,"[0, 0, 0]",1,340.32112909993157,342.32113319961354,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
9,"[0.2, -0.2]",0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",342.3377985996194,344.3378164996393,342.3377985996194,343.3544771997258,343.3381409998983,344.3378164996393,"[0, 0, 0]",1,342.3377985996194,344.3378164996393,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
9,"[0.2, -0.2]",0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",344.35433949995786,346.3544777999632,344.35433949995786,345.35448609991,345.3378250999376,346.3378260997124,"[0, 0, 0]",1,344.35433949995786,346.3544777999632,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
8,"[0, -0.2]",0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",346.37114859977737,348.3711860999465,346.37114859977737,347.3711637998931,347.3544821999967,348.35449619963765,"[0, 0, 0]",1,346.37114859977737,348.3711860999465,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
6,"[0.2, 0]",0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",348.38784509990364,350.3878514999524,348.38784509990364,349.38734079990536,349.38734079990536,350.3878514999524,"[0, 0, 0]",1,348.38784509990364,350.3878514999524,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
3,"[0.2, 0.2]",0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",350.40449869958684,352.40454609971493,350.40449869958684,351.40452149976045,351.387871499639,352.38788079982623,"[0, 0, 0]",1,350.40449869958684,352.40454609971493,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
6,"[0.2, 0]",1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",352.4212239999324,354.42123320000246,352.4212239999324,353.42119030002505,353.40452049998567,354.4045272995718,"[0, 0, 0]",1,352.4212239999324,354.42123320000246,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
5,"[0, 0]",0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",354.4378947997466,356.4379073996097,354.4378947997466,355.4378892998211,355.42123569967225,356.42123879957944,"[0, 0, 0]",1,354.4378947997466,356.4379073996097,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
