square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
5,"[0, 0]",1,0,6,6,6,,,None,None,"[0, 0, 0]",353.05557479988784,355.0556101000402,353.05557479988784,354.05559500004165,354.03894210001454,355.03894030000083,"[0, 0, 0]",1,353.05557479988784,355.0556101000402,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",355.0722719000187,357.07230739993975,355.0722719000187,356.07230350002646,356.05562320002355,357.05562389991246,"[0, 0, 0]",1,355.0722719000187,357.07230739993975,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",357.08895800006576,359.0889852999244,357.08895800006576,358.0889775999822,358.0722962000873,359.0723059999291,"[0, 0, 0]",1,357.08895800006576,359.0889852999244,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",1,0,9,9,9,,,None,None,"[0, 0, 0]",359.1056286999956,361.1056502000429,359.1056286999956,360.1060683000833,360.08903979999013,361.0890077999793,"[0, 0, 0]",1,359.1056286999956,361.1056502000429,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,361.13901269994676,None,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",None,0,0,0,0,369.155710299965,None,None,None,"[0, 0, 0]",376.1556889999192,378.1557924998924,376.1556889999192,377.1557938999031,377.1557938999031,378.1557924998924,"[0, 0, 0]",1,376.1556889999192,378.1557924998924,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",378.172464299947,380.1724992999807,378.172464299947,379.17248749989085,379.15581879997626,380.1558052999899,"[0, 0, 0]",1,378.172464299947,380.1724992999807,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",380.1891622999683,382.1891870999243,380.1891622999683,381.18918289989233,381.1724904999137,382.1725111999549,"[0, 0, 0]",1,380.1891622999683,382.1891870999243,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,0,3,3,3,,,None,None,"[0, 0, 0]",382.2059245998971,384.2058480998967,382.2059245998971,383.2058520000428,383.1891624000855,384.18919089995325,"[0, 0, 0]",1,382.2059245998971,384.2058480998967,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,4,4,4,,,None,None,"[0, 0, 0]",384.22252959990874,386.2225428998936,384.22252959990874,385.22254440002143,385.20593210007064,386.2058820000384,"[0, 0, 0]",1,384.22252959990874,386.2225428998936,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0,0,5,5,5,,,None,None,"[0, 0, 0]",386.2391886000987,388.2392370000016,386.2391886000987,387.2392164999619,387.2225573998876,388.22258309996687,"[0, 0, 0]",1,386.2391886000987,388.2392370000016,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",1,0,6,6,6,,,None,None,"[0, 0, 0]",388.25589890009724,390.255906800041,388.25589890009724,389.2558875998948,389.23925040010363,390.23924609995447,"[0, 0, 0]",1,388.25589890009724,390.255906800041,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
8,"[0, -0.2]",1,0,7,7,7,,,None,None,"[0, 0, 0]",390.27256079996005,392.27260169992223,390.27256079996005,391.2726117998827,391.2559410999529,392.25591930001974,"[0, 0, 0]",1,390.27256079996005,392.27260169992223,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",1,0,8,8,8,,,None,None,"[0, 0, 0]",392.2892483000178,394.28930220007896,392.2892483000178,393.28928070003167,393.2726054000668,394.2726026000455,"[0, 0, 0]",1,392.2892483000178,394.28930220007896,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
