square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,0,0,0,0,,,,,96.84658569999738,None,97.86322480000672,None,97.86322480000672,98.86439070000779,98.86439070000779,None,0,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,97.86322480000672,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
6,"[0.2, 0]",1.0,0,0,0,0,0,1,1,1,,,,,,,99.86482930000057,None,99.86482930000057,100.86524339999596,100.84856189999846,101.84899500000756,0,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,99.86482930000057,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
2,"[0, 0.2]",0.0,0,0,0,0,0,2,2,2,,,,,,,101.86579209999763,None,101.86579209999763,102.86644710000837,102.84969289999572,103.85006470000371,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,101.86579209999763,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
9,"[0.2, -0.2]",0.0,0,0,0,0,0,3,3,3,,,,,,,103.86686840000039,None,103.86686840000039,104.86749340000097,104.85067270000582,None,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,103.86686840000039,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
9,"[0.2, -0.2]",1.0,0,0,0,0,0,4,4,4,,,,,,,105.85126090000267,None,105.85126090000267,106.85159340000246,106.83498770000006,107.83552280000004,0,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,105.85126090000267,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
6,"[0.2, 0]",0.0,0,0,0,0,0,5,5,5,,,,,,,107.85200420000183,None,107.85200420000183,108.85267190000741,108.83591779999551,109.83641930000158,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,107.85200420000183,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
4,"[-0.2, 0]",0.0,0,0,0,0,0,6,6,6,,,,,,,109.85318299999926,None,109.85318299999926,110.85360260000743,110.83686720000696,111.83733910000592,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,109.85318299999926,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
3,"[0.2, 0.2]",0.0,0,0,0,0,0,7,7,7,,,,,,,111.85405370000808,None,111.85405370000808,112.85515440000745,112.83809530000144,113.83858759999566,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,111.85405370000808,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
3,"[0.2, 0.2]",1.0,0,0,0,0,0,8,8,8,,,,,,,113.85513429999992,None,113.85513429999992,114.85571220000566,114.83908990000782,115.8399788000097,0,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,113.85513429999992,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
8,"[0, -0.2]",0.0,0,0,0,0,0,9,9,9,,,,,,,115.85625789999904,None,115.85625789999904,116.8568743000069,116.84001130000979,117.84043300000485,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,115.85625789999904,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
