square,location,corrAns,runSeq,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response_2.rt_left,response_2.rt_right,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
4,"[-0.2, 0]",0.0,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",126.34201840002788,128.34316640000907,126.34201840002788,127.34255620001932,127.32592140001361,128.32632440002635,"[0, 0, 0]",1,126.34201840002788,128.34316640000907,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
7,"[-0.2, -0.2]",0.0,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",128.35968530000537,130.36092340000323,128.35968530000537,129.3603067000222,129.34354990001884,130.34401800000342,"[0, 0, 0]",1,128.35968530000537,130.36092340000323,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
4,"[-0.2, 0]",1.0,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",130.37740810000105,132.37837780002155,130.37740810000105,131.3779112000193,131.36124210001435,132.36201780001284,"[0, 0, 0]",1,130.37740810000105,132.37837780002155,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
3,"[0.2, 0.2]",0.0,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",132.39507140000933,134.39607400001842,132.39507140000933,133.39560900002834,133.37891500000842,134.3794180000259,"[0, 0, 0]",1,132.39507140000933,134.39607400001842,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
5,"[0, 0]",0.0,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",134.41274780000094,136.41377980000107,134.41274780000094,135.41331720000017,135.3965998000058,136.39720400000806,"[0, 0, 0]",1,134.41274780000094,136.41377980000107,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
3,"[0.2, 0.2]",1.0,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",136.43041160001303,138.43145690002711,136.43041160001303,137.43093850000878,137.41425950001576,138.41477310002665,"[0, 0, 0]",1,136.43041160001303,138.43145690002711,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
1,"[-0.2, 0.2]",0.0,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",138.44811330002267,140.4490493000194,138.44811330002267,139.4486527000263,139.4319384000264,140.4324605000147,"[0, 0, 0]",1,138.44811330002267,140.4490493000194,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
9,"[0.2, -0.2]",0.0,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",140.46577290000278,142.46681040001567,140.46577290000278,141.4663167000108,141.4496402000077,142.4500746000267,"[0, 0, 0]",1,140.46577290000278,142.46681040001567,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
9,"[0.2, -0.2]",0.0,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",142.4834304000251,144.48445660001016,142.4834304000251,143.48403870000038,143.46729810000397,144.46777010001824,"[0, 0, 0]",1,142.4834304000251,144.48445660001016,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
8,"[0, -0.2]",0.0,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",144.5011754000152,146.50222980001126,144.5011754000152,145.50173600000562,145.48501230002148,146.48546440000064,"[0, 0, 0]",1,144.5011754000152,146.50222980001126,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
6,"[0.2, 0]",0.0,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",146.5188099000079,148.51982420001877,146.5188099000079,147.51933560002362,147.50271890001022,148.5031495000003,"[0, 0, 0]",1,146.5188099000079,148.51982420001877,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
