square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
4,"[-0.2, 0]",0,0,2,2,2,,,,,,,294.47682209999766,294.47682209999766,294.47682209999766,295.47689869999886,295.4602218999935,296.4601780999801,0,None,None,"[0, 0, 0]",,,294.47682209999766,294.47682209999766,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
2,"[0, 0.2]",0,0,3,3,3,,,,,,,296.47683609998785,296.47683609998785,296.47683609998785,297.47682879999047,297.46020959998714,298.460251099983,0,None,None,"[0, 0, 0]",,,296.47683609998785,296.47683609998785,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
6,"[0.2, 0]",0,0,4,4,4,,,,,,,298.52742929998203,298.52742929998203,298.52742929998203,299.52701530000195,299.510182500002,None,0,None,None,"[0, 0, 0]",,,298.52742929998203,298.52742929998203,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
8,"[0, -0.2]",0,0,5,5,5,,,,,,,300.4935256000026,None,300.4935256000026,301.49352580000414,301.4768935999891,302.47696179998457,0,None,None,"[0, 0, 0]",,,300.4935256000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
1,"[-0.2, 0.2]",0,0,6,6,6,,,,,,,302.49355809998815,302.49355809998815,302.49355809998815,303.4935329,303.47687129999395,304.4768853999849,0,None,None,"[0, 0, 0]",,,302.49355809998815,302.49355809998815,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
4,"[-0.2, 0]",0,0,7,7,7,,,,,,,304.49346749999677,304.49346749999677,304.49346749999677,305.49362799999653,305.47691919998033,306.47689769999124,0,None,None,"[0, 0, 0]",,,304.49346749999677,304.49346749999677,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
8,"[0, -0.2]",0,0,8,8,8,,,,,,,306.49356820000685,306.49356820000685,306.49356820000685,307.49358789998223,307.4769318999897,308.4769416000054,0,None,None,"[0, 0, 0]",,,306.49356820000685,306.49356820000685,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
8,"[0, -0.2]",1,0,9,9,9,,,,,,,308.49360539999907,308.49360539999907,308.49360539999907,309.49358239999856,309.476906099997,310.47693539998727,0,None,None,"[0, 0, 0]",,,308.49360539999907,308.49360539999907,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
,,,,,,,,,,,310.4932565999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,314.88730942000984,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
3,"[0.2, 0.2]",None,0,0,0,0,,,,,320.6440911999962,None,328.0260431999923,None,328.0260431999923,329.0270635999914,328.9937480999797,329.99374309999985,1,None,None,"[0, 0, 0]",,,328.0260431999923,None,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,0.014214280003216118,5.0119526800117455,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
4,"[-0.2, 0]",0,0,1,1,1,,,,,,,330.01041019998956,None,330.01041019998956,331.0104623999796,330.9937929000007,331.9937708999787,0,None,None,"[0, 0, 0]",,,330.01041019998956,None,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
1,"[-0.2, 0.2]",0,0,2,2,2,,,,,,,332.0104272000026,332.0104272000026,332.0104272000026,333.01043840000057,332.99376399998437,333.9937558999809,0,None,None,"[0, 0, 0]",,,332.0104272000026,332.0104272000026,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
2,"[0, 0.2]",0,0,3,3,3,,,,,,,334.0104427000042,334.0104427000042,334.0104427000042,335.01039009998203,334.993765399995,335.9938213999849,0,None,None,"[0, 0, 0]",,,334.0104427000042,334.0104427000042,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
2,"[0, 0.2]",1,0,4,4,4,,,,,,,336.0427462999942,336.0427462999942,336.0427462999942,337.0438026000047,337.0271434999886,None,0,None,None,"[0, 0, 0]",,,336.0427462999942,336.0427462999942,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
5,"[0, 0]",0,0,5,5,5,,,,,,,338.0272190999822,None,338.0272190999822,339.02716919998056,339.0104586999805,340.0104927000066,0,None,None,"[0, 0, 0]",,,338.0272190999822,None,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
1,"[-0.2, 0.2]",0,0,6,6,6,,,,,,,340.0271841000067,340.0271841000067,340.0271841000067,341.02719180000713,341.01050449998,342.01050360000227,0,None,None,"[0, 0, 0]",,,340.0271841000067,340.0271841000067,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
1,"[-0.2, 0.2]",1,0,7,7,7,,,,,,,342.0271049999865,342.0271049999865,342.0271049999865,343.0274553000054,343.01075819999096,344.01051530000404,0,None,None,"[0, 0, 0]",,,342.0271049999865,342.0271049999865,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
8,"[0, -0.2]",0,0,8,8,8,,,,,,,344.02718809997896,344.02718809997896,344.02718809997896,345.027285499993,345.01062829999137,346.01050669999677,0,None,None,"[0, 0, 0]",,,344.02718809997896,344.02718809997896,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
7,"[-0.2, -0.2]",0,0,9,9,9,,,,,,,346.0272907000035,346.0272907000035,346.0272907000035,347.0271612999786,347.01050879998365,348.01059520000126,0,None,None,"[0, 0, 0]",,,346.0272907000035,346.0272907000035,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
,,,,,,,,,,,348.02687199998763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,352.4204288200417,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
6,"[0.2, 0]",None,0,0,0,0,,,,,358.177426499984,None,368.0595431999827,None,368.0595431999827,369.0607374999963,369.0441603999934,None,1,None,None,"[0, 0, 0]",,,368.0595431999827,None,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,0.014964279980631545,5.013763080001809,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
