square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,runSeq,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
2,"[0, 0.2]",0.0,0,0,0,0,0,28,28,28,,,,,,,,,,,,173.56937340000877,None,173.56937340000877,174.56962960000965,174.55317020000075,175.5536275000195,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,173.56937340000877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
6,"[0.2, 0]",0.0,0,0,0,0,0,29,29,29,,,,,,,,,,,,175.57013510001707,None,175.57013510001707,176.57071220001671,176.55457609999576,177.55463510000845,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,175.57013510001707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.57695670000976,None,space,177.57695670000976,None,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
6,"[0.2, 0]",None,,,,,,,,,0,0,0,0,,,,,,195.080008799996,None,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",196.08889780001482,None,196.08889780001482,197.0977851000207,197.08100249999552,198.0814380000229,"[0, 0, 0]",1,196.08889780001482,None,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
7,"[-0.2, -0.2]",None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",198.09834009999759,200.09989480001968,198.09834009999759,199.0986249000125,199.08194230002118,200.08235040001455,"[0, 0, 0]",0,198.09834009999759,200.09989480001968,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
6,"[0.2, 0]",1.0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",200.11566140002105,202.11686170002213,200.11566140002105,201.11627620001673,201.09978310001316,202.1003219000122,"[0, 0, 0]",0,200.11566140002105,202.11686170002213,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
2,"[0, 0.2]",0.0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",202.13361700001406,204.1345369000046,202.13361700001406,203.1341905000154,203.11723730000085,204.117687400023,"[0, 0, 0]",1,202.13361700001406,204.1345369000046,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
5,"[0, 0]",0.0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",204.15106990002096,206.15215830001398,204.15106990002096,205.15159480000148,205.1352249000047,206.1362489000021,"[0, 0, 0]",1,204.15106990002096,206.15215830001398,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
4,"[-0.2, 0]",0.0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",206.169223600009,208.1698357000132,206.169223600009,207.16940149999573,207.15263490000507,208.15337559999898,"[0, 0, 0]",1,206.169223600009,208.1698357000132,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
4,"[-0.2, 0]",0.0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",208.18674370000372,210.18749800001387,208.18674370000372,209.1871391000168,209.1702362000069,210.17079940001713,"[0, 0, 0]",1,208.18674370000372,210.18749800001387,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
