square,location,corrAns,runSeq,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
4,"[-0.2, 0]",0.0,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",124.48392520000925,126.4849239999894,124.48392520000925,125.48444239998935,125.46807290002471,126.46838510001544,"[0, 0, 0]",1,124.48392520000925,126.4849239999894,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
4,"[-0.2, 0]",0.0,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",126.50173910002923,128.50260469998466,126.50173910002923,127.50219020002987,127.48569699999643,128.4859935999848,"[0, 0, 0]",1,126.50173910002923,128.50260469998466,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
7,"[-0.2, -0.2]",0.0,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",128.51924839999992,130.52024480002,128.51924839999992,129.51978550001513,129.50311340001645,130.50361940002767,"[0, 0, 0]",1,128.51924839999992,130.52024480002,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
4,"[-0.2, 0]",1.0,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",130.53697660000762,132.53803840000182,130.53697660000762,131.53745020000497,131.5208284999826,132.52134819998173,"[0, 0, 0]",1,130.53697660000762,132.53803840000182,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
3,"[0.2, 0.2]",0.0,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",132.55469100002665,134.55572410003515,132.55469100002665,133.55517100001452,133.53845440002624,134.53893280000193,"[0, 0, 0]",1,132.55469100002665,134.55572410003515,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
5,"[0, 0]",0.0,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",134.57231519999914,136.57331280002836,134.57231519999914,135.5728069000179,135.55616370000644,136.55671269999584,"[0, 0, 0]",1,134.57231519999914,136.57331280002836,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
3,"[0.2, 0.2]",1.0,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",136.5899923000252,138.59102839999832,136.5899923000252,137.59059939999133,137.57385530002648,138.57428430003347,"[0, 0, 0]",1,136.5899923000252,138.59102839999832,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
1,"[-0.2, 0.2]",0.0,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",138.6076938000042,140.60873789998004,138.6076938000042,139.60820830002194,139.5915021999972,140.59197170002153,"[0, 0, 0]",1,138.6076938000042,140.60873789998004,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
9,"[0.2, -0.2]",0.0,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",140.62536010000622,142.6263539000065,140.62536010000622,141.62587769998936,141.60923310002545,142.6097758000251,"[0, 0, 0]",1,140.62536010000622,142.6263539000065,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
9,"[0.2, -0.2]",0.0,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",142.6431287000305,144.64405090000946,142.6431287000305,143.64360020001186,143.62684949999675,144.62729959998978,"[0, 0, 0]",1,142.6431287000305,144.64405090000946,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
