20.3417 	EXP 	NbackInstructionWideImg: autoDraw = True
20.3582 	EXP 	NbackInstructionWideImg: autoDraw = True
20.3753 	EXP 	NbackInstructionWideImg: autoDraw = True
20.3916 	EXP 	NbackInstructionWideImg: autoDraw = True
20.4083 	EXP 	NbackInstructionWideImg: autoDraw = True
20.4251 	EXP 	NbackInstructionWideImg: autoDraw = True
20.4416 	EXP 	NbackInstructionWideImg: autoDraw = True
20.4582 	EXP 	NbackInstructionWideImg: autoDraw = True
20.4750 	EXP 	NbackInstructionWideImg: autoDraw = True
20.4916 	EXP 	NbackInstructionWideImg: autoDraw = True
20.5083 	EXP 	NbackInstructionWideImg: image = 'c:\\Users\\Admin\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI distractmap\\instruction_stim\\5.png'
20.5083 	EXP 	NbackInstructionWideImg: autoDraw = True
20.5251 	EXP 	NbackInstructionWideImg: autoDraw = True
20.5417 	EXP 	NbackInstructionWideImg: autoDraw = True
20.5584 	EXP 	NbackInstructionWideImg: autoDraw = True
20.5751 	EXP 	NbackInstructionWideImg: autoDraw = True
20.5918 	EXP 	NbackInstructionWideImg: autoDraw = True
20.6090 	EXP 	NbackInstructionWideImg: autoDraw = True
20.6252 	EXP 	NbackInstructionWideImg: autoDraw = True
20.6418 	EXP 	NbackInstructionWideImg: autoDraw = True
20.6585 	EXP 	NbackInstructionWideImg: autoDraw = True
20.6753 	EXP 	NbackInstructionWideImg: autoDraw = True
20.6918 	EXP 	NbackInstructionWideImg: autoDraw = True
20.7089 	EXP 	NbackInstructionWideImg: autoDraw = True
20.7252 	EXP 	NbackInstructionWideImg: autoDraw = True
20.7417 	EXP 	NbackInstructionWideImg: autoDraw = True
20.7586 	EXP 	NbackInstructionWideImg: autoDraw = True
