square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,68.00217969994992,None,68.00217969994992,69.00218630000018,68.98550599999726,69.98551369993947,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,68.00217969994992,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,70.00218279985711,None,70.00218279985711,71.00211699982174,70.98548429994844,71.98543929983862,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,70.00218279985711,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,72.00227629998699,None,72.00227629998699,73.00223820004612,72.98548669996671,73.98558450001292,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,72.00227629998699,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,23,23,23,,,,,,,74.00222219992429,None,74.00222219992429,75.00228359992616,74.98554959986359,75.98561510001309,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,74.00222219992429,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,0,24,24,24,,,,,,,76.00224019982852,None,76.00224019982852,77.00223079998977,76.98556209984235,77.98555410001427,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,76.00224019982852,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,78.00228469981812,None,78.00228469981812,79.00226320000365,78.98553309985436,79.98557109991089,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,78.00228469981812,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,80.00226729991846,None,80.00226729991846,81.00228569982573,80.98560080002062,81.98545189993456,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,80.00226729991846,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,82.00225479993969,None,82.00225479993969,83.00228729983792,82.98561939992942,83.98564899992198,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,82.00225479993969,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,84.0023191999644,None,84.0023191999644,85.00228839996271,84.98561390000395,85.98560789995827,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,84.0023191999644,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
6,"[0.2, 0]",0,0,29,29,29,,,,,,,86.00230159983039,None,86.00230159983039,87.00234689982608,86.98567289998755,87.98562219995074,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,86.00230159983039,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,88.03407389996573,None,space,88.03407389996573,None,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
6,"[0.2, 0]",None,,,,,0,0,0,0,264.4533466999419,None,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",265.4690763000399,None,265.4690763000399,266.4703480999451,266.4536768000107,267.4536931000184,"[0, 0, 0]",1,265.4690763000399,None,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",267.4703615999315,269.4699977999553,267.4703615999315,268.4703666998539,268.4537285999395,269.4537060998846,"[0, 0, 0]",1,267.4703615999315,269.4699977999553,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
6,"[0.2, 0]",1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",269.4870504999999,271.48661909997463,269.4870504999999,270.48707029991783,270.47037620004267,271.47035579988733,"[0, 0, 0]",0,269.4870504999999,271.48661909997463,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",271.503758699866,273.50337779987603,271.503758699866,272.5037682999391,272.4870614998508,273.4870354998857,"[0, 0, 0]",0,271.503758699866,273.50337779987603,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
5,"[0, 0]",0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",273.5204188998323,275.52002139994875,273.5204188998323,274.52041439991444,274.50376849994063,275.5037314000074,"[0, 0, 0]",0,273.5204188998323,275.52002139994875,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",275.53713750001043,277.5367596000433,275.53713750001043,276.5371069998946,276.5204465999268,277.5203974999022,"[0, 0, 0]",0,275.53713750001043,277.5367596000433,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",277.5537846998777,279.55330909998156,277.5537846998777,278.553790200036,278.53712649992667,279.53709060000256,"[0, 0, 0]",0,277.5537846998777,279.55330909998156,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",279.5704893998336,281.57021399983205,279.5704893998336,280.5704653998837,280.55381179996766,281.5537218998652,"[0, 0, 0]",0,279.5704893998336,281.57021399983205,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",281.58713729982264,283.5867457999848,281.58713729982264,282.58721649996005,282.57044719997793,283.57048240001313,"[0, 0, 0]",0,281.58713729982264,283.5867457999848,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",283.60385990003124,285.60345910000615,283.60385990003124,284.6037147999741,284.5870924999472,285.5871876999736,"[0, 0, 0]",0,283.60385990003124,285.60345910000615,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
5,"[0, 0]",0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",285.6204985999502,287.6201467998326,285.6204985999502,286.6205706000328,286.6038515998516,287.603867799975,"[0, 0, 0]",0,285.6204985999502,287.6201467998326,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",287.63721479987726,289.63685829984024,287.63721479987726,288.6372454999946,288.62053989991546,289.62053479999304,"[0, 0, 0]",0,287.63721479987726,289.63685829984024,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",289.65384499984793,291.6535177999176,289.65384499984793,290.65394019987434,290.6371236999985,291.63721249997616,"[0, 0, 0]",0,289.65384499984793,291.6535177999176,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",291.6705805999227,293.67018529982306,291.6705805999227,292.67055269982666,292.65391949983314,293.6539399998728,"[0, 0, 0]",0,291.6705805999227,293.67018529982306,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",293.6873186000157,295.68691589985974,293.6873186000157,294.6872713000048,294.6705746999942,295.6705584998708,"[0, 0, 0]",0,293.6873186000157,295.68691589985974,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",295.7038826998323,297.70356649998575,295.7038826998323,296.7039308999665,296.6873149999883,297.6872668999713,"[0, 0, 0]",0,295.7038826998323,297.70356649998575,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
6,"[0.2, 0]",0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",297.72063099988736,299.72028340003453,297.72063099988736,298.720651099924,298.703917699866,299.70395869994536,"[0, 0, 0]",0,297.72063099988736,299.72028340003453,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",299.73729069996625,301.7367591999937,299.73729069996625,300.73730879998766,300.7206482999027,301.7206107999664,"[0, 0, 0]",0,299.73729069996625,301.7367591999937,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
6,"[0.2, 0]",1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",301.75405459990725,303.7536120999139,301.75405459990725,302.75399299990386,302.7373054998461,303.73730519996025,"[0, 0, 0]",0,301.75405459990725,303.7536120999139,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
5,"[0, 0]",0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",303.77065859991126,305.7706162999384,303.77065859991126,304.7706693999935,304.7539865998551,305.7550980998203,"[0, 0, 0]",0,303.77065859991126,305.7706162999384,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",305.7876661999617,307.7869581000414,305.7876661999617,306.78734979988076,306.7706581999082,307.77064929995686,"[0, 0, 0]",0,305.7876661999617,307.7869581000414,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
5,"[0, 0]",1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",307.8040330999065,309.80365729983896,307.8040330999065,308.8041055998765,308.7873193998821,309.7873568998184,"[0, 0, 0]",0,307.8040330999065,309.80365729983896,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",309.8207127000205,311.8203149999026,309.8207127000205,310.8207143000327,310.8041014999617,311.80405469983816,"[0, 0, 0]",0,309.8207127000205,311.8203149999026,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",311.8373924999032,313.8370125000365,311.8373924999032,312.8373912998941,312.8207143000327,313.8207129999064,"[0, 0, 0]",0,311.8373924999032,313.8370125000365,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",313.8540805999655,315.85373149998486,313.8540805999655,314.85403519985266,314.837365699932,315.83740409999155,"[0, 0, 0]",0,313.8540805999655,315.85373149998486,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
