square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response_2.rt_left,response_2.rt_right,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,1249.2963065998629,None,1249.2963065998629,1250.2963324999437,1250.279653799953,1251.2796674000565,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1249.2963065998629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,1251.2963200998493,None,1251.2963200998493,1252.2963370999787,1252.279663800029,1253.2796636000276,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1251.2963200998493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,1253.2963477999438,None,1253.2963477999438,1254.296346399933,1254.2796813999303,1255.2796954999212,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1253.2963477999438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
3,"[0.2, 0.2]",0,0,23,23,23,,,,,,,1255.2963667998556,None,1255.2963667998556,1256.296365399845,1256.279697299935,1257.2795975999907,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1255.2963667998556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
2,"[0, 0.2]",0,0,24,24,24,,,,,,,1257.2962597999722,None,1257.2962597999722,1258.296354799997,1258.279712199932,1259.2797137999441,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1257.2962597999722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,1259.2963839999866,None,1259.2963839999866,1260.2963823999744,1260.2797375998925,1261.2797314999625,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1259.2963839999866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,1261.2964132998604,None,1261.2964132998604,1262.2964069999289,1262.2797049998771,1263.2797379998956,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1261.2964132998604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,1263.2964133999776,None,1263.2964133999776,1264.2964319998864,1264.27974119992,1265.2797638999764,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1263.2964133999776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,1265.2964244999457,None,1265.2964244999457,1266.2964339000173,1266.2797803999856,1267.2797651998699,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1265.2964244999457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
6,"[0.2, 0]",0,0,29,29,29,,,,,,,1267.2964765999932,None,1267.2964765999932,1268.296456599841,1268.279788200045,1269.279801900033,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1267.2964765999932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
