square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,response.rt_left,response.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,734.425174199976,None,734.425174199976,735.4251990000485,735.4085119999945,736.4085146000143,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,734.425174199976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,736.4251935000066,None,736.4251935000066,737.4251984000439,737.4085221999558,738.4085354000563,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,736.4251935000066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
3,"[0.2, 0.2]",0,0,23,23,23,,,,,,,738.4252058999846,None,738.4252058999846,739.4247965000104,739.4085403999779,740.4085521999514,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,738.4252058999846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
2,"[0, 0.2]",0,0,24,24,24,,,,,,,740.4252210999839,None,740.4252210999839,741.425222299993,741.4085637000389,742.4085622000275,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,740.4252210999839,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,742.4252418000251,None,742.4252418000251,743.425245200051,743.4084690000163,744.408569799969,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,742.4252418000251,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,744.4252530999947,None,744.4252530999947,745.4252646999666,745.4085898000048,746.4085938000353,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,744.4252530999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,746.4252711000154,None,746.4252711000154,747.425269600004,747.4085971999448,748.4086126999464,0,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,746.4252711000154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,748.4252864000155,None,748.4252864000155,749.4252707000123,749.4086030999897,750.4086091000354,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,748.4252864000155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
6,"[0.2, 0]",0,0,29,29,29,,,,,,,750.4252869000193,None,750.4252869000193,751.4253002000041,751.408637400018,752.408628199948,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,750.4252869000193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.4419816000154,None,space,752.4419816000154,None,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
