square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt_left,response_2.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
7,"[-0.2, -0.2]",0,0,20,20,20,,,None,None,"[0, 0, 0]",80.71943070006091,82.71943260007538,80.71943070006091,81.71942420001142,81.70274130010512,82.7027444000123,"[0, 0, 0]",1,80.71943070006091,82.71943260007538,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,21,21,21,,,None,None,"[0, 0, 0]",82.73610209999606,84.7361222000327,82.73610209999606,83.73612340004183,83.71945010009222,84.7194579000352,"[0, 0, 0]",1,82.73610209999606,84.7361222000327,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,22,22,22,,,None,None,"[0, 0, 0]",84.75277970009483,86.75280650006607,84.75277970009483,85.75281219999306,85.73613750003278,86.73615810007323,"[0, 0, 0]",1,84.75277970009483,86.75280650006607,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,0,23,23,23,,,None,None,"[0, 0, 0]",86.76947130006738,88.76948390004691,86.76947130006738,87.76948440005071,87.75280300003942,88.75280310004018,"[0, 0, 0]",1,86.76947130006738,88.76948390004691,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0,0,24,24,24,,,None,None,"[0, 0, 0]",88.78615659999195,90.78618719999213,88.78615659999195,89.78616810007952,89.76950940000825,90.76950960000977,"[0, 0, 0]",1,88.78615659999195,90.78618719999213,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,25,25,25,,,None,None,"[0, 0, 0]",90.80281220003963,92.80283580010291,90.80281220003963,91.8028684000019,91.78618050005753,92.78619380004238,"[0, 0, 0]",1,90.80281220003963,92.80283580010291,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",1,0,26,26,26,,,None,None,"[0, 0, 0]",92.81952450005338,94.81954679999035,92.81952450005338,93.81953730003443,93.80286670010537,94.80286670010537,"[0, 0, 0]",1,92.81952450005338,94.81954679999035,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",0,0,27,27,27,,,None,None,"[0, 0, 0]",94.83621310000308,96.83617950009648,94.83621310000308,95.83621580002364,95.81954699999187,96.81957020005211,"[0, 0, 0]",1,94.83621310000308,96.83617950009648,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,0,28,28,28,,,None,None,"[0, 0, 0]",96.85288960009348,98.8528952000197,96.85288960009348,97.85290620010346,97.83623200003058,98.83626520005055,"[0, 0, 0]",1,96.85288960009348,98.8528952000197,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,29,29,29,,,None,None,"[0, 0, 0]",98.86958050006069,100.86959510005545,98.86958050006069,99.86957370000891,99.85292680002749,100.85291320004035,"[0, 0, 0]",1,98.86958050006069,100.86959510005545,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
