square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response.rt_left,response.rt_right,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt_left,response_2.rt_right,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,1007.661215900036,None,1007.661215900036,1008.6612250999897,1008.6445790000143,1009.6445666000363,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1007.661215900036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,1009.6612496000016,None,1009.6612496000016,1010.6612472000415,1010.6445750000421,1011.6445959000266,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1009.6612496000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,1011.6611299000215,None,1011.6611299000215,1012.6612732000067,1012.6446256000199,1013.6445876000216,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1011.6611299000215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
3,"[0.2, 0.2]",0,0,23,23,23,,,,,,,1013.661265600007,None,1013.661265600007,1014.6612695000367,1014.6446361000417,1015.6446040000301,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1013.661265600007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
2,"[0, 0.2]",0,0,24,24,24,,,,,,,1015.6612918000319,None,1015.6612918000319,1016.661294199992,1016.6446178000188,1017.6446454999968,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1015.6612918000319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,1017.6612923000357,None,1017.6612923000357,1018.6613126000157,1018.644636400044,1019.6446494000265,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1017.6612923000357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,1019.6613124000141,None,1019.6613124000141,1020.6613197000115,1020.6446683999966,1021.6446516000433,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1019.6613124000141,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,1021.661321600026,None,1021.661321600026,1022.6613346000086,1022.6446746999864,1023.6446697000065,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1021.661321600026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,1023.6613491000026,None,1023.6613491000026,1024.661365500011,1024.6446711000171,1025.6445743000368,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1023.6613491000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
6,"[0.2, 0]",0,0,29,29,29,,,,,,,1025.6613748000236,None,1025.6613748000236,1026.661362999992,1026.6447055999888,1027.6447187000304,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1025.6613748000236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.6780518000014,None,space,1027.6780518000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
6,"[0.2, 0]",None,0,0,0,0,,,,,1083.6118455000105,None,1084.6284179000068,None,1084.6284179000068,1085.628532600007,1085.6118417000398,1086.6118676000042,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1084.6284179000068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,1086.6285359000321,None,1086.6285359000321,1087.6285274000256,1087.6118614000152,1088.6118724000407,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1086.6285359000321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,1088.62855329999,None,1088.62855329999,1089.6285533999908,1089.6118778000236,1090.6118728999863,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1088.62855329999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,1090.6285613999935,None,1090.6285613999935,1091.6285789000103,1091.6118961999891,1092.6118953000405,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1090.6285613999935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,1092.6285706000053,None,1092.6285706000053,1093.6285726000206,1093.6119063000078,1094.6119429999962,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1092.6285706000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,1094.6286009000032,None,1094.6286009000032,1095.6285920999944,1095.6119221000117,1096.6119339000434,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1094.6286009000032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,1096.6286292999866,None,1096.6286292999866,1097.6286230999976,1097.6119366000057,1098.6119542000233,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1096.6286292999866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,1098.628627100028,None,1098.628627100028,1099.628628400038,1099.6119648999884,1100.6119714000379,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1098.628627100028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
