square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response.rt_left,response.rt_right,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,260.12886699999945,None,260.12886699999945,261.1288730000015,261.11221430000296,262.1122174999982,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,260.12886699999945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,262.1288730000015,None,262.1288730000015,263.1288857000036,263.1122331000006,264.1122325000033,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,262.1288730000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,264.12890699999843,None,264.12890699999843,265.12890809999953,265.1122316000037,266.1122644999996,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,264.12890699999843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,266.12890889999835,None,266.12890889999835,267.12891740000487,267.11225019999983,268.11225570000533,0,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,266.12890889999835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,268.1289168000003,None,268.1289168000003,269.1289605999991,269.1122744000022,270.1122475000011,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,268.1289168000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,270.1289405999996,None,270.1289405999996,271.1289273000002,271.1122766000044,272.1122899000038,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,270.1289405999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,272.12895520000166,None,272.12895520000166,273.1289573000031,273.11218380000355,274.1122964000024,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,272.12895520000166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,274.12897019999946,None,274.12897019999946,275.1289689000041,275.11230620000424,276.11231170000246,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,274.12897019999946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,276.1289851000038,None,276.1289851000038,277.12899350000225,277.1123191000006,278.112326100003,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,276.1289851000038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,278.12897820000217,None,278.12897820000217,279.12900630000513,279.1123301000043,280.1123336000019,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,278.12897820000217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
