square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
9,"[0.2, -0.2]",None,0,0,0,0,0,44,44,44,,,,,,,,,None,None,0,111.49550889999955,None,111.49550889999955,112.49571970000397,112.47893670000485,113.47962950001238,0,1,111.49550889999955,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
8,"[0, -0.2]",None,0,0,0,0,0,45,45,45,,,,,,,,,None,None,0,113.49624160001986,None,113.49624160001986,114.49664719999419,114.48000430001412,115.4804711000179,0,1,113.49624160001986,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",None,0,0,0,0,0,46,46,46,,,,,,,,,None,None,0,115.49712210000143,None,115.49712210000143,116.4975884000014,116.48103190000984,117.4813378000108,0,1,115.49712210000143,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",None,0,0,0,0,0,47,47,47,,,,,,,,,None,None,0,117.4979827000061,None,117.4979827000061,118.49856629999704,118.48186480000732,119.48230920001515,0,1,117.4979827000061,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",1,0,0,0,0,0,48,48,48,,,,,,,,,None,None,0,119.4991011999955,None,119.4991011999955,120.49941899999976,120.48272739999811,121.48315720001119,0,0,119.4991011999955,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,49,49,49,,,,,,,,,None,None,0,121.49994639999932,None,121.49994639999932,122.50057430000743,122.48386890001711,123.48413779999828,0,1,121.49994639999932,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,50,50,50,,,,,,,,,None,None,0,123.5008555999957,None,123.5008555999957,124.50124870002037,124.48464830001467,125.48515829999815,0,1,123.5008555999957,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",1,0,0,0,0,0,51,51,51,,,,,,,,,None,None,0,125.50196980001056,None,125.50196980001056,126.50225520000095,126.4856826000032,127.485992300004,0,0,125.50196980001056,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
1,"[-0.2, 0.2]",None,0,0,0,0,0,52,52,52,,,,,,,,,None,None,0,127.50275119999424,None,127.50275119999424,128.50323580001714,128.48651220000465,129.48699000000488,0,1,127.50275119999424,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,53,53,53,,,,,,,,,None,None,0,129.50382730001002,None,129.50382730001002,130.5046020000009,130.4879343000066,None,0,1,129.50382730001002,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",None,0,0,0,0,0,54,54,54,,,,,,,,,None,None,0,131.4881102000072,None,131.4881102000072,132.4883291000151,132.4716490000137,133.47251740001957,0,1,131.4881102000072,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",None,0,0,0,0,0,55,55,55,,,,,,,,,None,None,0,133.48920840001665,133.48920840001665,133.48920840001665,134.48948079999536,134.47296730001108,135.4731859000167,0,1,133.48920840001665,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",1,0,0,0,0,0,56,56,56,,,,,,,,,None,None,0,135.4898444999999,135.4898444999999,135.4898444999999,136.4902784000151,136.47369129999424,137.47457590000704,0,0,135.4898444999999,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",None,0,0,0,0,0,57,57,57,,,,,,,,,None,None,0,137.49082669999916,None,137.49082669999916,138.49490590000642,138.47485379999853,139.47512210000423,0,1,137.49082669999916,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
2,"[0, 0.2]",None,0,0,0,0,0,58,58,58,,,,,,,,,None,None,0,139.49187319999328,None,139.49187319999328,140.49210689999745,140.47547360000317,141.47714090000954,0,1,139.49187319999328,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,59,59,59,,,,,,,,,None,None,0,141.49332140001934,None,141.49332140001934,142.4945781000133,142.4774991000013,143.4775661000167,0,1,141.49332140001934,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,60,60,60,,,,,,,,,None,None,0,143.49427759999526,None,143.49427759999526,144.49442750000162,144.47728829999687,145.47800170001574,0,1,143.49427759999526,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
2,"[0, 0.2]",None,0,0,0,0,0,61,61,61,,,,,,,,,None,None,0,145.49457999999868,None,145.49457999999868,146.49501109999255,146.4781978999963,147.47868990001734,0,1,145.49457999999868,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",None,0,0,0,0,0,62,62,62,,,,,,,,,None,None,0,147.49536590001662,None,147.49536590001662,148.4959361999936,148.47925649999524,149.47966380001162,0,1,147.49536590001662,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",None,0,0,0,0,0,63,63,63,,,,,,,,,None,None,0,149.49639499999466,None,149.49639499999466,150.49684400000842,150.48027260001982,151.4806632999971,0,1,149.49639499999466,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",None,0,0,0,0,0,64,64,64,,,,,,,,,None,None,0,151.49731870001415,None,151.49731870001415,152.49783090001438,152.48117539999657,153.48157289999654,0,1,151.49731870001415,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",1,0,0,0,0,0,65,65,65,,,,,,,,,None,None,0,153.4982275000075,None,153.4982275000075,154.4987783000106,154.48208879999584,155.48254470000393,0,0,153.4982275000075,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,66,66,66,,,,,,,,,None,None,0,155.49919339999906,None,155.49919339999906,156.49969670001883,156.48310010001296,157.48346499999752,0,1,155.49919339999906,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
1,"[-0.2, 0.2]",None,0,0,0,0,0,67,67,67,,,,,,,,,None,None,0,157.50012260000221,None,157.50012260000221,158.50064610000118,158.48440390001633,159.48448850002023,0,1,157.50012260000221,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,68,68,68,,,,,,,,,None,None,0,159.50111610000022,None,159.50111610000022,160.50155590000213,160.48481029999675,161.4855177999998,0,1,159.50111610000022,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,69,69,69,,,,,,,,,None,None,0,161.50212099999771,None,161.50212099999771,162.50242590002017,162.48609210000723,163.4862756000075,0,1,161.50212099999771,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",1,0,0,0,0,0,70,70,70,,,,,,,,,None,None,0,163.50291890001972,None,163.50291890001972,164.50341940001817,164.48672879999503,165.48734220000915,0,0,163.50291890001972,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",None,0,0,0,0,0,71,71,71,,,,,,,,,None,None,0,165.50392550000106,None,165.50392550000106,166.50440110001364,166.4877183000208,167.48813599999994,0,1,165.50392550000106,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",None,0,0,0,0,0,72,72,72,,,,,,,,,None,None,0,167.50483489999897,None,167.50483489999897,168.50576250001905,168.48896509999759,169.4902023000177,0,1,167.50483489999897,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",1,0,0,0,0,0,73,73,73,,,,,,,,,None,None,0,169.5058770000178,None,169.5058770000178,170.50618260001647,170.4896071999974,171.49406759999692,0,0,169.5058770000178,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
8,"[0, -0.2]",None,0,0,0,0,0,74,74,74,,,,,,,,,None,None,0,171.5101752000046,None,171.5101752000046,172.52387470001122,172.4905521000037,None,0,1,171.5101752000046,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",None,0,0,0,0,0,75,75,75,,,,,,,,,None,None,0,173.49145850000787,None,173.49145850000787,174.49140030000126,174.47470310001518,175.47523890002049,0,1,173.49145850000787,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",None,0,0,0,0,0,76,76,76,,,,,,,,,None,None,0,175.49191130002146,None,175.49191130002146,176.4923448000045,176.4757581000158,177.4761118000024,0,1,175.49191130002146,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
1,"[-0.2, 0.2]",None,0,0,0,0,0,77,77,77,,,,,,,,,None,None,0,177.49279849999584,None,177.49279849999584,178.4933254000207,178.476625100011,179.47719500001404,0,1,177.49279849999584,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",None,0,0,0,0,0,78,78,78,,,,,,,,,None,None,0,179.49384450001526,None,179.49384450001526,180.49430380002013,180.47783150000032,181.47800160001498,0,1,179.49384450001526,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,79,79,79,,,,,,,,,None,None,0,181.49466810000013,None,181.49466810000013,182.49585410000873,182.47847960001673,183.47920630002045,0,1,181.49466810000013,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",1,0,0,0,0,0,80,80,80,,,,,,,,,None,None,0,183.4961191000184,None,183.4961191000184,184.49774890000117,184.48159710000618,185.48259400000097,0,0,183.4961191000184,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
4,"[-0.2, 0]",None,0,0,0,0,0,81,81,81,,,,,,,,,None,None,0,185.4986624000012,None,185.4986624000012,186.51376800000435,186.48061240001698,187.48132270001224,0,1,185.4986624000012,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,82,82,82,,,,,,,,,None,None,0,187.49794770000153,None,187.49794770000153,188.4992225000169,188.48252630000934,189.48570079999627,0,1,187.49794770000153,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
4,"[-0.2, 0]",1,0,0,0,0,0,83,83,83,,,,,,,,,None,None,0,189.50412580001284,None,189.50412580001284,190.51564530000906,190.48308900001575,191.4840006000013,0,0,189.50412580001284,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
4,"[-0.2, 0]",None,0,0,0,0,0,84,84,84,,,,,,,,,None,None,0,191.50034080000478,None,191.50034080000478,192.50081670001964,192.48411439999472,None,0,1,191.50034080000478,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,85,85,85,,,,,,,,,None,None,0,193.50131610000972,None,193.50131610000972,194.52884840001934,194.4918791000091,None,0,1,193.50131610000972,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
