RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,35,35,35,,,,,,,,,,,742.2181482999586,None,742.2181482999586,743.218167199986,743.2014977999497,744.2015122999437,None,1,742.2181482999586,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,36,36,36,,,,,,,,,,,744.2181608999381,None,744.2181608999381,745.218166799983,745.2015140999574,746.2015137999551,None,1,744.2181608999381,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,37,37,37,,,,,,,,,,,746.2181945999619,None,746.2181945999619,747.2181886999169,747.2015330999857,748.2015413999325,None,1,746.2181945999619,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,4,"[-0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,38,38,38,,,,,,,,,,,748.2182031999109,None,748.2182031999109,749.2182161998935,749.2015156999696,750.20154369995,None,0,748.2182031999109,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,39,39,39,,,,,,,,,,,750.2181613999419,None,750.2181613999419,751.2182099999627,751.2015512000071,752.2015723999357,None,1,750.2181613999419,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,40,40,40,,,,,,,,,,,752.2182238999521,None,752.2182238999521,753.2182302000001,753.2015847999137,754.201554399915,None,1,752.2182238999521,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,3,"[0.2, 0.2]",1,0,1,1,1,,,,,0,0,0,0,0,41,41,41,,,,,,,,,,,754.2182452999987,None,754.2182452999987,755.2182603999972,755.2015842999099,756.2016010999214,None,0,754.2182452999987,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,42,42,42,,,,,,,,,,,756.2182626998983,None,756.2182626998983,757.2182701999554,757.2016175999306,758.2016061999602,None,1,756.2182626998983,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,43,43,43,,,,,,,,,,,758.2182934999,None,758.2182934999,759.2182879999746,759.2016274000052,760.2016259999946,None,1,758.2182934999,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,44,44,44,,,,,,,,,,,760.2182974999305,None,760.2182974999305,761.2183157999534,761.2016299999086,762.2016382999718,None,1,760.2182974999305,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
