RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.rt,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,558.048897799803,None,558.048897799803,559.0489067998715,559.03225379996,560.0322494998109,None,1,,558.048897799803,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,560.0489142998122,None,560.0489142998122,561.0489225999918,561.0322715998627,562.0321458999533,None,1,,560.0489142998122,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,3,"[0.2, 0.2]",1,0,1,1,1,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,562.0489361998625,None,562.0489361998625,563.0490388998296,563.032264799811,564.0322891999967,None,0,,562.0489361998625,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,564.0489483999554,None,564.0489483999554,565.0489642999601,565.0323065998964,566.0323120998219,None,1,,564.0489483999554,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,566.0489632999524,None,566.0489632999524,567.048982599983,567.0323129999451,568.0323158998508,None,1,,566.0489632999524,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,4,"[-0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,568.048982599983,None,568.048982599983,569.0489888999145,569.0323299998417,570.0323324999772,None,0,,568.048982599983,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,570.0490089999512,None,570.0490089999512,571.0490050998051,571.0323451999575,572.0323540999088,None,1,,570.0490089999512,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,572.0490103999618,None,572.0490103999618,573.0490296999924,573.0323621998541,574.0323792998679,None,1,,572.0490103999618,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,26,26,26,,,,,,,,,,,574.04902759986,None,574.04902759986,575.0490454998799,575.0323838999029,576.032384699909,None,1,,574.04902759986,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,27,27,27,,,,,,,,,,,576.0490635999013,None,576.0490635999013,577.0490480998997,577.0323923998512,578.0324166999198,None,1,,576.0490635999013,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
