square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt_left,response_2.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
7,"[-0.2, -0.2]",0,0,20,20,20,,,None,None,"[0, 0, 0]",93.28938400000334,95.2893842998892,93.28938400000334,94.28940389980562,94.27274109981954,95.27262439997867,"[0, 0, 0]",1,93.28938400000334,95.2893842998892,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",1,0,21,21,21,,,None,None,"[0, 0, 0]",95.30606499989517,97.30607389984652,95.30606499989517,96.30608939984813,96.28938839980401,97.28941529989243,"[0, 0, 0]",0,95.30606499989517,97.30607389984652,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,22,22,22,,,None,None,"[0, 0, 0]",97.32278459984809,99.32276159990579,97.32278459984809,98.32276759995148,98.30609179986641,99.30609179986641,"[0, 0, 0]",1,97.32278459984809,99.32276159990579,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",0,0,23,23,23,,,None,None,"[0, 0, 0]",99.339431299828,101.3394374998752,99.339431299828,100.33943609986454,100.3227695999667,101.32279319991358,"[0, 0, 0]",1,99.339431299828,101.3394374998752,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
9,"[0.2, -0.2]",0,0,24,24,24,,,None,None,"[0, 0, 0]",101.35617309994996,103.35611910000443,101.35617309994996,102.35612089978531,102.33948039985262,103.33945299987681,"[0, 0, 0]",1,101.35617309994996,103.35611910000443,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",0,0,25,25,25,,,None,None,"[0, 0, 0]",103.37280499981716,105.37282699998468,103.37280499981716,104.37280239979737,104.35613929992542,105.3561483998783,"[0, 0, 0]",1,103.37280499981716,105.37282699998468,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
9,"[0.2, -0.2]",1,0,26,26,26,,,None,None,"[0, 0, 0]",105.38948279991746,107.38950509997085,105.38948279991746,106.38949189987034,106.37282729987055,107.3728268998675,"[0, 0, 0]",0,105.38948279991746,107.38950509997085,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",0,0,27,27,27,,,None,None,"[0, 0, 1]",107.40615449985489,109.40525659988634,107.40615449985489,108.40525139984675,108.38858429994434,109.38859259989113,"[0, 0, 1]",1,107.40615449985489,109.40525659988634,0.0,1.9660010999068618,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
2,"[0, 0.2]",0,0,28,28,28,,,None,None,"[0, 0, 0]",109.42189949983731,111.42266389983706,109.42189949983731,110.422007399844,110.40535519993864,111.40593189978972,"[0, 0, 0]",1,109.42189949983731,111.42266389983706,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,0,29,29,29,,,None,None,"[0, 0, 0]",111.43931429996155,113.43954099994153,111.43931429996155,112.43935149977915,112.42269439995289,113.42289109993726,"[0, 0, 0]",1,111.43931429996155,113.43954099994153,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
