square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,response.rt_left,response.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",0,0,29,29,29,,,,,,,931.4833688000217,None,931.4833688000217,932.4834519000724,932.4667730000801,933.4667837000452,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,931.4833688000217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.5001359998714,None,space,933.5001359998714,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
6,"[0.2, 0]",None,,,,,0,0,0,0,990.7505363000091,None,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",991.7672120998614,None,991.7672120998614,992.7672498999164,992.7505622000899,993.7505592000671,"[0, 0, 0]",1,991.7672120998614,None,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
7,"[-0.2, -0.2]",None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",993.7672041999176,995.7672474998981,993.7672041999176,994.7672429999802,994.7505824000109,995.7505799999926,"[0, 0, 0]",1,993.7672041999176,995.7672474998981,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
6,"[0.2, 0]",1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",995.7839188000653,997.7839248999953,995.7839188000653,996.7839263998903,996.7672387999482,997.7672625000123,"[0, 0, 0]",1,995.7839188000653,997.7839248999953,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
2,"[0, 0.2]",0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",997.8005951000378,999.8005808999296,997.8005951000378,998.8006144000683,998.7839426000137,999.7839408998843,"[0, 0, 0]",1,997.8005951000378,999.8005808999296,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
5,"[0, 0]",0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",999.8172744999174,1001.8172897000331,999.8172744999174,1000.8172724000178,1000.8006049999967,1001.800631799968,"[0, 0, 0]",1,999.8172744999174,1001.8172897000331,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
4,"[-0.2, 0]",0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1001.8339609000832,1003.833966899896,1001.8339609000832,1002.8339422999416,1002.8172949000727,1003.817298399983,"[0, 0, 0]",1,1001.8339609000832,1003.833966899896,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
4,"[-0.2, 0]",0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1003.8506199999247,1005.8506491999142,1003.8506199999247,1004.8506336999126,1004.8339787998702,1005.8339932998642,"[0, 0, 0]",1,1003.8506199999247,1005.8506491999142,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
7,"[-0.2, -0.2]",0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1005.8673223999795,1007.8673230998684,1005.8673223999795,1006.8673270998988,1006.8506646000315,1007.8506591999903,"[0, 0, 0]",1,1005.8673223999795,1007.8673230998684,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
4,"[-0.2, 0]",1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1007.8839996000752,1009.8840163999703,1007.8839996000752,1008.8840015998576,1008.8673409000039,1009.8673553999979,"[0, 0, 0]",1,1007.8839996000752,1009.8840163999703,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
3,"[0.2, 0.2]",0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1009.9006938000675,1011.9006888000295,1009.9006938000675,1010.9006912999321,1010.8840147999581,1011.8840439000633,"[0, 0, 0]",1,1009.9006938000675,1011.9006888000295,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
