RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,40,40,40,,,,,,,,,,,489.5550943000708,None,489.5550943000708,490.55508740001824,490.53842850006185,491.5383098999737,None,1,489.5550943000708,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,3,"[0.2, 0.2]",1,0,1,1,1,,,,,0,0,0,0,0,41,41,41,,,,,,,,,,,491.5551317000063,None,491.5551317000063,492.55512100004125,492.5384380000178,493.5384574000491,None,0,491.5551317000063,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,42,42,42,,,,,,,,,,,493.55511070007924,None,493.55511070007924,494.5551309000002,494.5384581000544,495.5383963000495,None,1,493.55511070007924,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,43,43,43,,,,,,,,,,,495.55516190000344,None,495.55516190000344,496.55515670008026,496.53850999998394,497.53848850005306,None,1,495.55516190000344,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,44,44,44,,,,,,,,,,,497.5551631000126,None,497.5551631000126,498.5550387999974,498.53847380005755,499.5385098999832,None,1,497.5551631000126,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,45,45,45,,,,,,,,,,,499.5551615000004,None,499.5551615000004,500.5551919999998,500.5384992000181,501.5385164000327,None,1,499.5551615000004,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,46,46,46,,,,,,,,,,,501.555191499996,None,501.555191499996,502.55518879997544,502.5385319000343,503.5385344000533,None,1,501.555191499996,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,47,47,47,,,,,,,,,,,503.55522970005404,None,503.55522970005404,504.5552404000191,504.5385410999879,505.53856330004055,None,1,503.55522970005404,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,48,48,48,,,,,,,,,,,505.5552180999657,None,505.5552180999657,506.5552414000267,506.538564800052,507.5385670000687,None,0,505.5552180999657,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,49,49,49,,,,,,,,,,,507.5552441000473,None,507.5552441000473,508.55524050001986,508.538583900081,509.53857960004825,None,1,507.5552441000473,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,50,50,50,,,,,,,,,,,509.5552580000367,None,509.5552580000367,510.5552617000649,510.5385891000042,511.5386447000783,None,1,509.5552580000367,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,5,"[0, 0]",1,0,1,1,1,,,,,0,0,0,0,0,51,51,51,,,,,,,,,,,511.55525660002604,None,511.55525660002604,512.5552652999759,512.5386092000408,513.5386167999823,None,0,511.55525660002604,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,52,52,52,,,,,,,,,,,513.5552845000057,None,513.5552845000057,514.5552854000125,514.5386312999763,515.5386265000561,None,1,513.5552845000057,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,53,53,53,,,,,,,,,,,515.5552941000788,None,515.5552941000788,516.5552994000027,516.5386397000402,517.5386595000746,None,1,515.5552941000788,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,54,54,54,,,,,,,,,,,517.5553127999883,None,517.5553127999883,518.5553152000066,518.5386565000517,519.5386679000221,None,1,517.5553127999883,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,55,55,55,,,,,,,,,,,519.5553401000798,None,519.5553401000798,520.555345700006,520.53868160001,521.5386866000481,None,1,519.5553401000798,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,56,56,56,,,,,,,,,,,521.5553417999763,None,521.5553417999763,522.555350300041,522.538687500055,523.5386801999994,None,0,521.5553417999763,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,57,57,57,,,,,,,,,,,523.5553727999795,None,523.5553727999795,524.5553674000548,524.5387083999813,525.5387097999919,None,1,523.5553727999795,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,58,58,58,,,,,,,,,,,525.5553853000747,None,525.5553853000747,526.5553897999926,526.5387212000787,527.5387594000204,None,1,525.5553853000747,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,59,59,59,,,,,,,,,,,527.5554028999759,None,527.5554028999759,528.5554220000049,528.5387556999922,529.5387644000584,None,1,527.5554028999759,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,60,60,60,,,,,,,,,,,529.5554188999813,None,529.5554188999813,530.5554240000201,530.5387764000334,531.538777400041,None,1,529.5554188999813,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,61,61,61,,,,,,,,,,,531.5554451000644,None,531.5554451000644,532.5554308000719,532.5387804000638,533.5387787000509,None,1,531.5554451000644,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,62,62,62,,,,,,,,,,,533.5554363999981,None,533.5554363999981,534.5554569000378,534.5387999999803,535.5387038000626,None,1,533.5554363999981,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,63,63,63,,,,,,,,,,,535.5554569000378,None,535.5554569000378,536.5554976999993,536.5387988999719,537.5388300999766,None,1,535.5554569000378,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,64,64,64,,,,,,,,,,,537.5555058000609,None,537.5555058000609,538.5555110999849,538.5388238000451,539.5388269000687,None,1,537.5555058000609,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,65,65,65,,,,,,,,,,,539.5555071000708,None,539.5555071000708,540.5555150000146,540.5388564000605,541.5388710000552,None,0,539.5555071000708,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,66,66,66,,,,,,,,,,,541.5555138000054,None,541.5555138000054,542.5555251999758,542.538864400005,543.5388799000066,None,1,541.5555138000054,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,67,67,67,,,,,,,,,,,543.5555400999729,None,543.5555400999729,544.5555496000452,544.538877199986,545.5388872000622,None,1,543.5555400999729,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,68,68,68,,,,,,,,,,,545.5555662000552,None,545.5555662000552,546.5555495000444,546.5388891000766,547.5389007000485,None,1,545.5555662000552,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,69,69,69,,,,,,,,,,,547.5555597000057,None,547.5555597000057,548.5555721999845,548.5389093999984,549.5389264000114,None,1,547.5555597000057,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
