square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response_2.rt_left,response_2.rt_right,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
7,"[-0.2, -0.2]",0,0,20,20,20,,,None,None,"[0, 0, 0]",202.4647779999941,204.46478609999758,202.4647779999941,203.4647862999991,203.44811179998214,204.4481020999956,"[0, 0, 0]",1,202.4647779999941,204.46478609999758,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,21,21,21,,,None,None,"[0, 0, 0]",204.4814674000081,206.48147219998646,204.4814674000081,205.48147020000033,205.46478169999318,206.46479619998718,"[0, 0, 0]",1,204.4814674000081,206.48147219998646,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,22,22,22,,,None,None,"[0, 0, 0]",206.49812229999225,208.49814809998497,206.49812229999225,207.4981465000019,207.48148180000135,208.48148779998883,"[0, 0, 0]",1,206.49812229999225,208.49814809998497,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,0,23,23,23,,,None,None,"[0, 0, 0]",208.51482819998637,210.51484769998933,208.51482819998637,209.5148337999999,209.49821099999826,210.4981640999904,"[0, 0, 0]",1,208.51482819998637,210.51484769998933,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0,0,24,24,24,,,None,None,"[0, 0, 0]",210.53148989999318,212.5315200999903,210.53148989999318,211.5315117999853,211.51485179999145,212.51484809999238,"[0, 0, 0]",1,210.53148989999318,212.5315200999903,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,25,25,25,,,None,None,"[0, 0, 0]",212.5481877999846,214.54818859999068,212.5481877999846,213.54813969999668,213.5315174999996,214.5315327999997,"[0, 0, 0]",1,212.5481877999846,214.54818859999068,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",1,0,26,26,26,,,None,None,"[0, 0, 0]",214.56488449999597,216.56487939998624,214.56488449999597,215.56488550000358,215.5482084999967,216.5482081999944,"[0, 0, 0]",1,214.56488449999597,216.56487939998624,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",0,0,27,27,27,,,None,None,"[0, 0, 0]",216.5815647999989,218.58156900000176,216.5815647999989,217.58154349998222,217.5648821000068,218.56490490000579,"[0, 0, 0]",1,216.5815647999989,218.58156900000176,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,0,28,28,28,,,None,None,"[0, 0, 0]",218.5982274999842,220.59825479998835,218.5982274999842,219.598238400009,219.58157619999838,220.58158989998628,"[0, 0, 0]",1,218.5982274999842,220.59825479998835,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,29,29,29,,,None,None,"[0, 0, 0]",220.61491979999118,222.61492920000455,220.61491979999118,221.61492849999922,221.59824990000925,222.59827369998675,"[0, 0, 0]",1,220.61491979999118,222.61492920000455,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
