square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1143.0293454000057,1145.0294495999988,1143.0293454000057,1144.0294662000088,1144.0127850999997,1145.0127941999963,"[0, 0, 0]",1,1143.0293454000057,1145.0294495999988,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
2,"[0, 0.2]",0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1145.0461273999972,1147.0461556000082,1145.0461273999972,1146.0461300000024,1146.0294779999967,1147.0294662000088,"[0, 0, 0]",1,1145.0461273999972,1147.0461556000082,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
5,"[0, 0]",0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1147.062800300002,1149.0628234000033,1147.062800300002,1148.0628270000016,1148.0461443999957,1149.0461612000072,"[0, 0, 0]",1,1147.062800300002,1149.0628234000033,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,1149.0795039000077,None,space,1149.0795039000077,None,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
5,"[0, 0]",None,0,0,0,0,,,,,1338.6147727000061,None,1340.9809000999958,None,1340.9809000999958,1341.9809111000068,1341.964262900001,1342.964284200003,1,None,None,"[0, 0, 0]",,,1340.9809000999958,None,,,,,,,,,,,,,,,,,,,1176.6299438999995,1176.6299438999995,None,space,133.5243807999941,1176.6299438999995,None,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
5,"[0, 0]",1,0,1,1,1,,,,,,,1342.9809339000058,1342.9809339000058,1342.9809339000058,1343.9809497999959,1343.9642709000036,1344.9642827000062,1,None,None,"[0, 0, 0]",,,1342.9809339000058,1342.9809339000058,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
4,"[-0.2, 0]",0,0,2,2,2,,,,,,,1344.980959499997,1344.980959499997,1344.980959499997,1345.980948299999,1345.9643025999976,1346.9643099000095,1,None,None,"[0, 0, 0]",,,1344.980959499997,1344.980959499997,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
2,"[0, 0.2]",0,0,3,3,3,,,,,,,1346.980963199996,1346.980963199996,1346.980963199996,1347.980967800002,1347.964314500001,1348.9643341000046,1,None,None,"[0, 0, 0]",,,1346.980963199996,1346.980963199996,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
6,"[0.2, 0]",0,0,4,4,4,,,,,,,1349.0312144000054,1349.0312144000054,1349.0312144000054,1350.0309742999962,1349.9976640999957,None,1,None,None,"[0, 0, 0]",,,1349.0312144000054,1349.0312144000054,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
8,"[0, -0.2]",0,0,5,5,5,,,,,,,1350.9976521000062,None,1350.9976521000062,1351.9976811000088,1351.9810018999997,1352.9810109999962,1,None,None,"[0, 0, 0]",,,1350.9976521000062,None,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
1,"[-0.2, 0.2]",0,0,6,6,6,,,,,,,1352.9976830000087,1352.9976830000087,1352.9976830000087,1353.9976785000035,1353.9810256000055,1354.9810295000061,1,None,None,"[0, 0, 0]",,,1352.9976830000087,1352.9976830000087,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
4,"[-0.2, 0]",0,0,7,7,7,,,,,,,1354.9976823000034,1354.9976823000034,1354.9976823000034,1355.9976835999987,1355.9810452999955,1356.9810357999959,1,None,None,"[0, 0, 0]",,,1354.9976823000034,1354.9976823000034,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
8,"[0, -0.2]",0,0,8,8,8,,,,,,,1356.9976975000027,1356.9976975000027,1356.9976975000027,1357.9977072000038,1357.9810543000058,1358.9810549999966,1,None,None,"[0, 0, 0]",,,1356.9976975000027,1356.9976975000027,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
8,"[0, -0.2]",1,0,9,9,9,,,,,,,1358.9977211000078,1358.9977211000078,1358.9977211000078,1359.9977263000037,1359.9810638000054,1360.9810762999987,1,None,None,"[0, 0, 0]",,,1358.9977211000078,1358.9977211000078,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
,,,,,,,,,,,1360.9977306000073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.148148148148152,1343.2337212099956,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
3,"[0.2, 0.2]",None,0,0,0,0,,,,,1374.181298399999,None,1381.0312841999985,None,1381.0312841999985,1382.031217900003,1382.0145629000035,1383.0145682000002,1,None,None,"[0, 0, 0]",,,1381.0312841999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,0.014781289995880798,5.012513490000856,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
4,"[-0.2, 0]",0,0,1,1,1,,,,,,,1383.0312474000093,1383.0312474000093,1383.0312474000093,1384.0312542000029,1384.014479999998,1385.0145776999998,0,None,None,"[0, 0, 0]",,,1383.0312474000093,1383.0312474000093,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
1,"[-0.2, 0.2]",0,0,2,2,2,,,,,,,1385.0312646999955,1385.0312646999955,1385.0312646999955,1386.031250800006,1386.0145907999977,1387.0145889999985,0,None,None,"[0, 0, 0]",,,1385.0312646999955,1385.0312646999955,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
2,"[0, 0.2]",0,0,3,3,3,,,,,,,1387.0312623000063,1387.0312623000063,1387.0312623000063,1388.0312661000062,1388.0145993000042,1389.0146089000045,0,None,None,"[0, 0, 0]",,,1387.0312623000063,1387.0312623000063,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
2,"[0, 0.2]",1,0,4,4,4,,,,,,,1389.0481419999996,1389.0481419999996,1389.0481419999996,1390.0479758000001,1390.0311818000046,1391.0313027000084,0,None,None,"[0, 0, 0]",,,1389.0481419999996,1389.0481419999996,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
5,"[0, 0]",0,0,5,5,5,,,,,,,1391.047957600007,None,1391.047957600007,1392.0479723000026,1392.0313072999998,1393.031311300001,0,None,None,"[0, 0, 0]",,,1391.047957600007,None,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
1,"[-0.2, 0.2]",0,0,6,6,6,,,,,,,1393.047986999998,1393.047986999998,1393.047986999998,1394.0479774999985,1394.0313345000031,1395.0313577000052,0,None,None,"[0, 0, 0]",,,1393.047986999998,1393.047986999998,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
1,"[-0.2, 0.2]",1,0,7,7,7,,,,,,,1395.047996399997,1395.047996399997,1395.047996399997,1396.048011100007,1396.0313251000043,1397.0313526999962,0,None,None,"[0, 0, 0]",,,1395.047996399997,1395.047996399997,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
8,"[0, -0.2]",0,0,8,8,8,,,,,,,1397.0480061999988,1397.0480061999988,1397.0480061999988,1398.0480015000066,1398.031359200002,1399.0313656000071,0,None,None,"[0, 0, 0]",,,1397.0480061999988,1397.0480061999988,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
7,"[-0.2, -0.2]",0,0,9,9,9,,,,,,,1399.0480291999993,1399.0480291999993,1399.0480291999993,1400.0480408000003,1400.0313771000074,1401.031371200006,0,None,None,"[0, 0, 0]",,,1399.0480291999993,1399.0480291999993,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
