square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
7,"[-0.2, -0.2]",0.0,0,23,23,23,,,None,None,"[0, 0, 0]",361.80775249993894,363.8078020999674,361.80775249993894,362.80778769997414,362.7911179999355,363.79110839997884,"[0, 0, 0]",0,361.80775249993894,363.8078020999674,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,24,24,24,,,None,None,"[0, 0, 0]",363.8244142999174,365.82443519996013,363.8244142999174,364.8244593999116,364.8077481999062,365.8077523999382,"[0, 0, 0]",1,363.8244142999174,365.82443519996013,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,25,25,25,,,None,None,"[0, 0, 0]",365.8411031999858,367.8411406999221,365.8411031999858,366.8411567999283,366.8244763999246,367.82448999991175,"[0, 0, 0]",1,365.8411031999858,367.8411406999221,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",1.0,0,26,26,26,,,None,None,"[0, 0, 0]",367.85781909991056,369.85780849994626,367.85781909991056,368.8577896999195,368.8411368000088,369.8411492999876,"[0, 0, 0]",1,367.85781909991056,369.85780849994626,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",0.0,0,27,27,27,,,None,None,"[0, 0, 0]",369.8744643999962,371.87449019995984,369.8744643999962,370.8744592999574,370.85778729990125,371.8578007000033,"[0, 0, 0]",1,369.8744643999962,371.87449019995984,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
2,"[0, 0.2]",0.0,0,28,28,28,,,None,None,"[0, 0, 0]",371.89116040000226,373.89119739993475,371.89116040000226,372.8911866999697,372.8745173999341,373.8745068999706,"[0, 0, 0]",1,371.89116040000226,373.89119739993475,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,29,29,29,,,None,None,"[0, 0, 0]",373.90784389991313,375.90783949999604,373.90784389991313,374.9078214999754,374.89118919998873,375.8912081999006,"[0, 0, 0]",1,373.90784389991313,375.90783949999604,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
,,,,,,,,,,,,,,,,,,,,,,375.9412072999403,None,space,375.9412072999403,None,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",None,0,0,0,0,561.6095488999272,None,None,None,"[0, 0, 0]",568.1929620999144,None,568.1929620999144,569.1929485999281,569.159636599943,570.1596572999842,"[0, 0, 0]",1,568.1929620999144,None,,,,,,407.6417654999532,407.6417654999532,None,space,127.24860299995635,407.6417654999532,None,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",570.1929308999097,572.1930242999224,570.1929308999097,571.1929592000088,571.1762877999572,572.1763572999043,"[0, 0, 0]",1,570.1929308999097,572.1930242999224,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,2,2,2,,,None,None,"[0, 0, 0]",572.2096850000089,574.2096550000133,572.2096850000089,573.2096443999326,573.1929746000096,574.1930201000068,"[0, 0, 0]",1,572.2096850000089,574.2096550000133,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
