BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation.started,fixation.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,AvoidRating.response,AvoidRating.rt,AvoidRating.started,AvoidRating.stopped,RelaxRating.response,RelaxRating.rt,RelaxRating.started,RelaxRating.stopped,TaskAttentionRating.response,TaskAttentionRating.rt,TaskAttentionRating.started,TaskAttentionRating.stopped,BoredomRating.response,BoredomRating.rt,BoredomRating.started,BoredomRating.stopped,AlertnessRating.response,AlertnessRating.rt,AlertnessRating.started,AlertnessRating.stopped,PosThxRating.response,PosThxRating.rt,PosThxRating.started,PosThxRating.stopped,NegThxRating.response,NegThxRating.rt,NegThxRating.started,NegThxRating.stopped,SelfRating.response,SelfRating.rt,SelfRating.started,SelfRating.stopped,OtherRating.response,OtherRating.rt,OtherRating.started,OtherRating.stopped,ImageryRating.response,ImageryRating.rt,ImageryRating.started,ImageryRating.stopped,PresentRating.response,PresentRating.rt,PresentRating.started,PresentRating.stopped,subject number,gender,acceptMap body-site # (day1: 1-4; day2: 5-8),session,handedness,scanner,run,date,psychopyVersion,expName,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,0.013861029990948737,None,100.0,492.4148868699849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014530830027069896,None,28.333333333333332,496.4315822700155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014541729993652552,None,100.0,500.2819706700102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014180230005877092,None,-71.60493827160494,504.29885166999884,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014008130005095154,None,37.53086419753086,507.2325311699824,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01368873001774773,None,27.160493827160508,510.68209566999576,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014157030003843829,None,100.0,514.7154812700173,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014144129992928356,None,57.16049382716051,517.43250006999,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01380273001268506,None,76.1728395061728,523.0987913699937,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014222830010112375,None,49.38271604938268,527.2488909699896,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014159730024402961,None,,,,,,,,,,,,
