square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,response_2.rt,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
7,"[-0.2, -0.2]",None,0,0,0,0,0,53,53,53,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,127.38873230002355,None,127.38873230002355,128.38899390000734,128.37215330000618,129.3736055000045,None,1,127.38873230002355,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
9,"[0.2, -0.2]",None,0,0,0,0,0,54,54,54,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,129.38940450001974,None,129.38940450001974,130.389905500022,130.3731845000002,131.37420100002782,None,1,129.38940450001974,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
3,"[0.2, 0.2]",None,0,0,0,0,0,55,55,55,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,131.3911484000273,None,131.3911484000273,132.39172300000791,132.37438600001042,133.37502680000034,None,1,131.3911484000273,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
9,"[0.2, -0.2]",1,0,0,0,0,0,56,56,56,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,133.3920304000203,None,133.3920304000203,134.3924524000031,134.37558930000523,135.37572270000237,None,0,133.3920304000203,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",None,0,0,0,0,0,57,57,57,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,135.39269150001928,None,135.39269150001928,136.3933059000119,136.37637880002148,None,None,1,135.39269150001928,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
2,"[0, 0.2]",None,0,0,0,0,0,58,58,58,,,,,,,,,-0.8638888888888889,-0.26944444444444443,0,0.0,137.37689190002857,None,137.37689190002857,138.37746510002762,138.36102140002185,139.36202550001326,None,1,137.37689190002857,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",None,0,0,0,0,0,59,59,59,,,,,,,,,-0.8638888888888889,-0.26944444444444443,0,0.0,139.37894320001942,None,139.37894320001942,140.37865420000162,140.3621144000208,141.36174430002575,None,1,139.37894320001942,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",None,0,0,0,0,0,60,60,60,,,,,,,,,-0.8638888888888889,-0.26944444444444443,0,0.0,141.37832770001842,None,141.37832770001842,142.382526100002,142.36671110001043,None,None,1,141.37832770001842,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
2,"[0, 0.2]",None,0,0,0,0,0,61,61,61,,,,,,,,,-0.8638888888888889,-0.26944444444444443,0,0.0,143.38314410002204,None,143.38314410002204,144.38303340002312,144.36726060000365,None,None,1,143.38314410002204,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",None,0,0,0,0,0,62,62,62,,,,,,,,,-0.8638888888888889,-0.26944444444444443,0,0.0,145.38059740001336,None,145.38059740001336,146.38096220002626,146.36668160001864,None,None,1,145.38059740001336,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
9,"[0.2, -0.2]",None,0,0,0,0,0,63,63,63,,,,,,,,,-0.8638888888888889,-0.26944444444444443,0,0.0,147.38169450001442,None,147.38169450001442,148.38227320002625,148.3674408000079,None,None,1,147.38169450001442,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
3,"[0.2, 0.2]",None,0,0,0,0,0,64,64,64,,,,,,,,,-0.8638888888888889,-0.26944444444444443,0,0.0,149.3826415000076,None,149.3826415000076,150.3850292999996,150.37134720000904,None,None,1,149.3826415000076,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
9,"[0.2, -0.2]",1,0,0,0,0,0,65,65,65,,,,,,,,,-0.8638888888888889,-0.26944444444444443,0,0.0,151.3829732000013,None,151.3829732000013,152.38341090001632,152.36777550002444,153.37005360002513,None,0,151.3829732000013,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
7,"[-0.2, -0.2]",None,0,0,0,0,0,66,66,66,,,,,,,,,-0.5222222222222223,0.20972222222222223,0,0.0,153.38441060000332,None,153.38441060000332,154.3849853000138,154.37098540001898,155.37113530002534,None,1,153.38441060000332,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
1,"[-0.2, 0.2]",None,0,0,0,0,0,67,67,67,,,,,,,,,-0.07361111111111111,0.034722222222222224,0,0.5740348999970593,155.38548960001208,None,155.38548960001208,156.38619830002426,156.3712363000086,None,None,1,155.38548960001208,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",None,0,0,0,0,0,68,68,68,,,,,,,,,-0.075,0.019444444444444445,0,0.32401919999392703,157.38599630002864,None,157.38599630002864,158.38685810001334,158.37211010002648,None,None,1,157.38599630002864,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
7,"[-0.2, -0.2]",None,0,0,0,0,0,69,69,69,,,,,,,,,-0.08611111111111111,0.016666666666666666,0,0.9860334999975748,159.38750440001604,None,159.38750440001604,160.38731499999994,160.37293860001955,None,None,1,159.38750440001604,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",1,0,0,0,0,0,70,70,70,,,,,,,,,-0.08611111111111111,0.016666666666666666,0,1.2900581000139937,161.38815140002407,None,161.38815140002407,162.39063100001658,162.3717377000139,163.3724448000139,None,0,161.38815140002407,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",None,0,0,0,0,0,71,71,71,,,,,,,,,-0.11527777777777778,0.029166666666666667,0,1.4014414999983273,163.3914444000111,None,163.3914444000111,164.40650730000925,164.373061100021,165.3733491000021,None,1,163.3914444000111,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
3,"[0.2, 0.2]",None,0,0,0,0,0,72,72,72,,,,,,,,,-0.11527777777777778,0.029166666666666667,0,0.0,165.3921595000138,None,165.3921595000138,166.40757270000177,166.37345400001504,None,None,1,165.3921595000138,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",1,0,0,0,0,0,73,73,73,,,,,,,,,-0.12777777777777777,0.02638888888888889,0,0.16988870000932366,167.37423410001793,None,167.37423410001793,168.37458520001383,168.3602213000122,None,None,0,167.37423410001793,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
8,"[0, -0.2]",None,0,0,0,0,0,74,74,74,,,,,,,,,-0.38472222222222224,0.020833333333333332,0,0.43500690002110787,169.37515310000163,None,169.37515310000163,170.37528880001628,170.36101420002524,None,None,1,169.37515310000163,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
9,"[0.2, -0.2]",None,0,0,0,0,0,75,75,75,,,,,,,,,-0.2861111111111111,0.018055555555555554,0,0.5205963000189513,171.37617000000319,None,171.37617000000319,172.37685230001807,172.362020200002,None,None,1,171.37617000000319,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
9,"[0.2, -0.2]",None,0,0,0,0,0,76,76,76,,,,,,,,,-0.8833333333333333,0.034722222222222224,0,0.7206884000042919,173.3772918000177,None,173.3772918000177,174.37730790002388,174.36134240002139,175.36100790000637,None,1,173.3772918000177,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
