square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,237.67446500016376,None,237.67446500016376,238.67453210009262,238.65785550000146,239.65784890018404,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,237.67446500016376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
3,"[0.2, 0.2]",0,0,23,23,23,,,,,,,239.67449870007113,None,239.67449870007113,240.674498999957,240.6578640001826,241.6578814999666,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,239.67449870007113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
2,"[0, 0.2]",0,0,24,24,24,,,,,,,241.6745071001351,None,241.6745071001351,242.67450820002705,242.65773780015297,243.65788610000163,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,241.6745071001351,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,243.67448360007256,None,243.67448360007256,244.6745649999939,244.6578722000122,245.6578766000457,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,243.67448360007256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,245.67452580016106,None,245.67452580016106,246.67452400014736,246.6578901000321,247.657874800032,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,245.67452580016106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,247.67454860010184,None,247.67454860010184,248.67451509996317,248.6579303999897,249.65794109995477,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,247.67454860010184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,249.67458120011725,None,249.67458120011725,250.67455460014753,250.65794740011916,251.65790450014174,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,249.67458120011725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
6,"[0.2, 0]",0,0,29,29,29,,,,,,,251.67457829997875,None,251.67457829997875,252.6746217000764,252.65792999998666,253.6579538001679,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,251.67457829997875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,253.7062828000635,None,space,253.7062828000635,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
6,"[0.2, 0]",None,,,,,0,0,0,0,303.07459380012006,None,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",304.09033580007963,None,304.09033580007963,305.09159740014,305.0749937000219,306.07493820018135,"[0, 0, 0]",1,304.09033580007963,None,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
7,"[-0.2, -0.2]",None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",306.09166280017234,308.0912202000618,306.09166280017234,307.09169280016795,307.07495060004294,308.0749729999807,"[0, 0, 0]",1,306.09166280017234,308.0912202000618,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
6,"[0.2, 0]",1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",308.1083140000701,310.10788700007834,308.1083140000701,309.1083064000122,309.0915483001154,310.0915721000638,"[0, 0, 0]",0,308.1083140000701,310.10788700007834,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
2,"[0, 0.2]",0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",310.12493290007114,312.12467420008034,310.12493290007114,311.1249563000165,311.1082399999723,312.1083541000262,"[0, 0, 0]",0,310.12493290007114,312.12467420008034,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
5,"[0, 0]",0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",312.14172030007467,314.1413634000346,312.14172030007467,313.1417197000701,313.1251102001406,314.1250283999834,"[0, 0, 0]",0,312.14172030007467,314.1413634000346,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
4,"[-0.2, 0]",0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",314.1583822001703,316.15803040005267,314.1583822001703,315.15841719997115,315.141731900163,316.1417600000277,"[0, 0, 0]",0,314.1583822001703,316.15803040005267,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
4,"[-0.2, 0]",0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",316.1750307001639,318.1747203001287,316.1750307001639,317.1750770001672,317.15841030003503,318.1584046999924,"[0, 0, 0]",0,316.1750307001639,318.1747203001287,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
7,"[-0.2, -0.2]",0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",318.19177330005914,320.1913489000872,318.19177330005914,319.1917787999846,319.1751060001552,320.1750829999801,"[0, 0, 0]",0,318.19177330005914,320.1913489000872,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
4,"[-0.2, 0]",1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",320.208425699966,322.20802800008096,320.208425699966,321.20841219997965,321.1918358001858,322.1917678001337,"[0, 0, 0]",0,320.208425699966,322.20802800008096,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
3,"[0.2, 0.2]",0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",322.2251429001335,324.2247799001634,322.2251429001335,323.2251421001274,323.2084519001655,324.20839640009217,"[0, 0, 0]",0,322.2251429001335,324.2247799001634,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
