square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,112.35227150004357,None,112.35227150004357,113.35225880006328,113.33556150004733,114.33555160008837,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,112.35227150004357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,114.35229629999958,None,114.35229629999958,115.35227770009078,115.3355569000123,116.33555980003439,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,114.35229629999958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,116.35220930003561,None,116.35220930003561,117.3522003000835,117.33553750009742,118.33558950002771,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,116.35220930003561,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
6,"[0.2, 0]",0,0,29,29,29,,,,,,,118.3522501999978,None,118.3522501999978,119.3522501999978,119.33559250005055,120.33554510003887,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,118.3522501999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,120.38396500004455,None,space,120.38396500004455,None,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
6,"[0.2, 0]",None,,,,,0,0,0,0,148.26881300006062,None,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",149.28441590000875,None,149.28441590000875,150.28584170003887,150.26922510005534,151.26918420009315,"[0, 0, 0]",1,149.28441590000875,None,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",151.28589430009015,153.2854269000236,151.28589430009015,152.28581980010495,152.26923330000136,153.26914170000236,"[0, 0, 0]",1,151.28589430009015,153.2854269000236,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
6,"[0.2, 0]",1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",153.30252320005093,155.30213100009132,153.30252320005093,154.30251800001133,154.2858214000007,155.28583629999775,"[0, 0, 0]",0,153.30252320005093,155.30213100009132,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
2,"[0, 0.2]",0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",155.31921780004632,157.31884690001607,155.31921780004632,156.31924540002365,156.30253060010727,157.30254310008604,"[0, 0, 0]",0,155.31921780004632,157.31884690001607,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
5,"[0, 0]",0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",157.33588930009864,159.3355383001035,157.33588930009864,158.33589280000888,158.31922230008058,159.31924080010504,"[0, 0, 0]",0,157.33588930009864,159.3355383001035,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
