square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
4,"[-0.2, 0]",1.0,0,8,8,8,,,None,None,"[0, 0, 0]",149.5620158999809,151.56209969997872,149.5620158999809,150.56211559998337,150.54544379998697,151.5454599999939,"[0, 0, 0]",0,149.5620158999809,151.56209969997872,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,9,9,9,,,None,None,"[0, 0, 0]",151.57876080001006,153.57880710001336,151.57876080001006,152.57876489998307,152.56211719999555,153.56213819998084,"[0, 0, 0]",1,151.57876080001006,153.57880710001336,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,10,10,10,,,None,None,"[0, 0, 0]",153.59545949997846,155.59551439998904,153.59545949997846,154.5954919999931,154.57884769997327,155.57882320001954,"[0, 0, 0]",1,153.59545949997846,155.59551439998904,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",1.0,0,11,11,11,,,None,None,"[0, 0, 0]",155.61214869999094,157.61216929997317,155.61214869999094,156.61219469999196,156.5955412000185,157.59550669998862,"[0, 0, 0]",1,155.61214869999094,157.61216929997317,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",0.0,0,12,12,12,,,None,None,"[0, 0, 0]",157.62882340000942,159.6288773000124,157.62882340000942,158.62887810001848,158.61218860000372,159.61219090002123,"[0, 0, 0]",1,157.62882340000942,159.6288773000124,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,13,13,13,,,None,None,"[0, 0, 0]",159.64554669999052,161.64554370002588,159.64554669999052,160.6455504000187,160.62888929998735,161.62888109998312,"[0, 0, 0]",1,159.64554669999052,161.64554370002588,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,14,14,14,,,None,None,"[0, 0, 0]",161.66222830000333,163.66221189999487,161.66222830000333,162.66222469997592,162.6455786000006,163.64557539997622,"[0, 0, 0]",1,161.66222830000333,163.66221189999487,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
8,"[0, -0.2]",0.0,0,15,15,15,,,None,None,"[0, 0, 0]",163.6787729000207,165.67892079998273,163.6787729000207,164.67890060000354,164.66223219997482,165.66225950000808,"[0, 0, 0]",0,163.6787729000207,165.67892079998273,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",0.0,0,16,16,16,,,None,None,"[0, 0, 0]",165.6955939999898,167.6956019999925,165.6955939999898,166.69580909999786,166.67892259999644,167.67897930002073,"[0, 0, 0]",1,165.6955939999898,167.6956019999925,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,17,17,17,,,None,None,"[0, 0, 0]",167.7122780000209,169.71228630002588,167.7122780000209,168.7123478000285,168.69561410002643,169.69562860002043,"[0, 0, 0]",1,167.7122780000209,169.71228630002588,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",1.0,0,18,18,18,,,None,None,"[0, 0, 0]",169.72895680001238,171.72898000001442,169.72895680001238,170.72896849998506,170.71229599998333,171.71231610001996,"[0, 0, 0]",0,169.72895680001238,171.72898000001442,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,19,19,19,,,None,None,"[0, 0, 0]",171.74564959999407,173.7456784999813,171.74564959999407,172.7456971000065,172.7289750999771,173.7289948000107,"[0, 0, 0]",1,171.74564959999407,173.7456784999813,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0.0,0,20,20,20,,,None,None,"[0, 0, 0]",173.76229220000096,175.76234439999098,173.76229220000096,174.7623357999837,174.74567380000371,175.74566930002766,"[0, 0, 0]",1,173.76229220000096,175.76234439999098,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",1.0,0,21,21,21,,,None,None,"[0, 0, 0]",175.77902010001708,177.77901699999347,175.77902010001708,176.77905509999255,176.76234170002863,177.76236210000934,"[0, 0, 0]",1,175.77902010001708,177.77901699999347,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",0.0,0,22,22,22,,,None,None,"[0, 0, 0]",177.79556990001583,179.7957096999744,177.79556990001583,178.7957029999816,178.77902539999923,179.77902720001293,"[0, 0, 0]",1,177.79556990001583,179.7957096999744,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
