square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response_2.rt_left,response_2.rt_right,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,1536.6568828000454,None,1536.6568828000454,1537.656924400013,1537.6402396999765,1538.6402307000244,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1536.6568828000454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,1538.6569756000536,None,1538.6569756000536,1539.6568981000455,1539.6402301000198,1540.6402527000755,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1538.6569756000536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,1540.6569091000129,None,1540.6569091000129,1541.6569465000648,1541.6402408999857,1542.6402664000634,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1540.6569091000129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,23,23,23,,,,,,,1542.6569142000517,None,1542.6569142000517,1543.6569404000184,1543.6402785000391,1544.6402627000352,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1542.6569142000517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,0,24,24,24,,,,,,,1544.656946000061,None,1544.656946000061,1545.6569486000808,1545.6402740000049,1546.640311300056,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1544.656946000061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,1546.6569637000794,None,1546.6569637000794,1547.6569641000824,1547.6403004999738,1548.6403098000446,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1546.6569637000794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,1548.6569706000155,None,1548.6569706000155,1549.656989500043,1549.640323300031,1550.6403091000393,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1548.6569706000155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,1550.6569789000787,None,1550.6569789000787,1551.6569858000148,1551.6402444000123,1552.640342800063,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1550.6569789000787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,1552.657001900021,None,1552.657001900021,1553.657000600011,1553.6403406000463,1554.6403464999748,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1552.657001900021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
6,"[0.2, 0]",0,0,29,29,29,,,,,,,1554.6570211000508,None,1554.6570211000508,1555.6570217000553,1555.6403490999946,1556.6403686000267,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1554.6570211000508,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
