square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
2,"[0, 0.2]",0.0,0,28,28,28,,,None,None,"[0, 0, 0]",234.1952302000136,236.19523070001742,234.1952302000136,235.19524490000913,235.17859470000258,236.17856790003134,"[0, 0, 0]",0,234.1952302000136,236.19523070001742,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,29,29,29,,,None,None,"[0, 0, 0]",236.21189520001644,238.21193140000105,236.21189520001644,237.21181140001863,237.19513880001614,238.19524999998976,"[0, 0, 0]",0,236.21189520001644,238.21193140000105,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
,,,,,,,,,,,,,,,,,,,,,,238.2452697000117,None,space,238.2452697000117,None,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",None,0,0,0,0,357.3129926000256,None,None,None,"[0, 0, 0]",358.32966580003267,None,358.32966580003267,359.3296687999973,359.31300650001504,360.313008600031,"[0, 0, 0]",1,358.32966580003267,None,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",360.3296918999986,362.32969590002904,360.3296918999986,361.3296749999863,361.31302300002426,362.3130176999839,"[0, 0, 0]",1,360.3296918999986,362.32969590002904,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",1.0,0,2,2,2,,,None,None,"[0, 0, 0]",362.34638599999016,364.34639540000353,362.34638599999016,363.3463680000277,363.32969789998606,364.3297333000228,"[0, 0, 0]",1,362.34638599999016,364.34639540000353,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
2,"[0, 0.2]",0.0,0,3,3,3,,,None,None,"[0, 0, 0]",364.36312930000713,366.36303820001194,364.36312930000713,365.36304389999714,365.34641599998577,366.3464297000319,"[0, 0, 0]",0,364.36312930000713,366.36303820001194,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,4,4,4,,,None,None,"[0, 0, 0]",366.3797449999838,368.37976819998585,366.3797449999838,367.3797540999949,367.36306920001516,368.3630870000343,"[0, 0, 0]",0,366.3797449999838,368.37976819998585,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",0.0,0,5,5,5,,,None,None,"[0, 0, 0]",368.3964269999997,370.3964638999896,368.3964269999997,369.3964500000002,369.3797601000406,370.3797670000349,"[0, 0, 0]",0,368.3964269999997,370.3964638999896,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",0.0,0,6,6,6,,,None,None,"[0, 0, 0]",370.4131024000235,372.4131083000102,370.4131024000235,371.4130956000299,371.39645140001085,372.3963885999983,"[0, 0, 0]",0,370.4131024000235,372.4131083000102,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
