square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,runSeq,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
4,"[-0.2, 0]",0.0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",469.8504403999832,471.8515308999922,469.8504403999832,470.8509861000057,470.83428020001156,471.8348230999836,"[0, 0, 0]",1,469.8504403999832,471.8515308999922,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
4,"[-0.2, 0]",0.0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",471.868174800009,473.86913710000226,471.868174800009,472.868656000006,472.8519914000062,473.8525098999962,"[0, 0, 0]",1,471.868174800009,473.86913710000226,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
7,"[-0.2, -0.2]",0.0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",473.8860113999981,475.8868220000004,473.8860113999981,474.88639369999873,474.8696394999861,475.8702016999887,"[0, 0, 0]",1,473.8860113999981,475.8868220000004,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
4,"[-0.2, 0]",1.0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",475.9035014999972,477.9045085000107,475.9035014999972,476.904005999997,476.88729250000324,477.8878967000055,"[0, 0, 0]",1,475.9035014999972,477.9045085000107,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
3,"[0.2, 0.2]",0.0,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",477.92124440000043,479.9221736000036,477.92124440000043,478.9217510999879,478.90500769999926,479.9055798999907,"[0, 0, 0]",1,477.92124440000043,479.9221736000036,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
5,"[0, 0]",0.0,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",479.9390105000057,481.9399490999931,479.9390105000057,480.9394039000035,480.9227924000006,481.92318199999863,"[0, 0, 0]",1,479.9390105000057,481.9399490999931,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
3,"[0.2, 0.2]",1.0,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",481.9565222999954,483.9575402000046,481.9565222999954,482.95706779998727,482.9405063999875,483.9408462999854,"[0, 0, 0]",1,481.9565222999954,483.9575402000046,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
1,"[-0.2, 0.2]",0.0,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",483.9742287999834,485.97522940000636,483.9742287999834,484.97468949999893,484.9580572999839,485.9587807999924,"[0, 0, 0]",1,483.9742287999834,485.97522940000636,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
9,"[0.2, -0.2]",0.0,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",485.9918628000014,487.99287869999534,485.9918628000014,486.9923659999913,486.97570239999914,487.9762527999992,"[0, 0, 0]",1,485.9918628000014,487.99287869999534,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
9,"[0.2, -0.2]",0.0,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",488.00961700000335,490.0105760000006,488.00961700000335,489.01005730000907,488.99347379998653,489.99395760000334,"[0, 0, 0]",1,488.00961700000335,490.0105760000006,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
8,"[0, -0.2]",0.0,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",490.0272208999959,492.02832029998535,490.0272208999959,491.02777099999366,491.01108550000936,492.0116424000007,"[0, 0, 0]",1,490.0272208999959,492.02832029998535,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
6,"[0.2, 0]",0.0,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",492.04494319998776,494.04591210000217,492.04494319998776,493.0454699000111,493.02880979998736,494.0293248000089,"[0, 0, 0]",1,492.04494319998776,494.04591210000217,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
3,"[0.2, 0.2]",0.0,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",494.06260649999604,496.0636549000046,494.06260649999604,495.06314489999204,495.0464240000001,496.04691129998537,"[0, 0, 0]",1,494.06260649999604,496.0636549000046,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
6,"[0.2, 0]",1.0,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",496.08022780000465,498.08134189998964,496.08022780000465,497.0807639999839,497.06414770000265,498.06464009999763,"[0, 0, 0]",1,496.08022780000465,498.08134189998964,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
