square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.rt_left,response.rt_right,response_2.rt_left,response_2.rt_right,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,125.93467079999391,None,125.93467079999391,126.9346874000039,126.91800580000563,127.91801720000512,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,125.93467079999391,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,127.93467750000127,None,127.93467750000127,128.93468890000076,128.91804050000792,129.9180217999965,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,127.93467750000127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,129.934697100005,None,129.934697100005,130.93470690000686,130.91803990000335,131.91805570000724,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,129.934697100005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
3,"[0.2, 0.2]",0,0,23,23,23,,,,,,,131.9347190999979,None,131.9347190999979,132.93471499999578,132.91804600000614,133.91807349999726,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,131.9347190999979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
2,"[0, 0.2]",0,0,24,24,24,,,,,,,133.9347173999995,None,133.9347173999995,134.93474310000602,134.91794630000368,135.91806300000462,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,133.9347173999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,135.93474050000077,None,135.93474050000077,136.93473190000805,136.9180808999954,137.9180985999992,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,135.93474050000077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,137.93466980000085,None,137.93466980000085,138.93475630000466,138.91809130000183,139.91804269999557,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,137.93466980000085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,139.93467339999916,None,139.93467339999916,140.93477469999925,140.9181011000037,141.91811739999685,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,139.93467339999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,141.9347809000028,None,141.9347809000028,142.93480970000383,142.9181227000081,143.9181183000037,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,141.9347809000028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
6,"[0.2, 0]",0,0,29,29,29,,,,,,,143.9347953999968,None,143.9347953999968,144.9347992999974,144.9181208999944,145.91814140000497,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,143.9347953999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,145.95147030000226,None,space,145.95147030000226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
6,"[0.2, 0]",None,,,,,0,0,0,0,193.18515659999684,None,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",194.20173210000212,None,194.20173210000212,195.2018212999974,195.18516829999862,196.18518159999803,"[0, 0, 0]",1,194.20173210000212,None,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
7,"[-0.2, -0.2]",None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",196.2018315000023,198.20175140000356,196.2018315000023,197.2018490000046,197.1851830999949,198.18518329999642,"[0, 0, 0]",1,196.2018315000023,198.20175140000356,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
6,"[0.2, 0]",1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",198.21851799999422,200.21851799999422,198.21851799999422,199.21851510000124,199.2018517999968,200.20186919999833,"[0, 0, 0]",1,198.21851799999422,200.21851799999422,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
2,"[0, 0.2]",0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",200.2352033000061,202.2352130000072,200.2352033000061,201.23522620000585,201.2185390999948,202.2185390999948,"[0, 0, 0]",0,200.2352033000061,202.2352130000072,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
5,"[0, 0]",0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",202.25187399999413,204.2519026999944,202.25187399999413,203.25188389999676,203.23523150000256,204.23526929999935,"[0, 0, 0]",1,202.25187399999413,204.2519026999944,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
4,"[-0.2, 0]",0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",204.26846439999645,206.26856620000035,204.26846439999645,205.26856209999823,205.2519023000059,206.2519006000075,"[0, 0, 0]",1,204.26846439999645,206.26856620000035,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
4,"[-0.2, 0]",0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",206.2852547999937,208.2852630999987,206.2852547999937,207.28525570000056,207.2685788999952,208.26859039999545,"[0, 0, 0]",1,206.2852547999937,208.2852630999987,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
7,"[-0.2, -0.2]",0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",208.3019373999996,210.3019490000006,208.3019373999996,209.30194479999773,209.2852625999949,210.2851554999943,"[0, 0, 0]",1,208.3019373999996,210.3019490000006,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
4,"[-0.2, 0]",1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",210.3185911000037,212.31861529999878,210.3185911000037,211.3185996999964,211.3019340000028,212.30196799999976,"[0, 0, 0]",1,210.3185911000037,212.31861529999878,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
