square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.rt_left,response_2.rt_right,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
7,"[-0.2, -0.2]",0,0,20,20,20,,,None,None,"[1, 0, 0]",114.2264378000109,116.22645990000456,114.2264378000109,115.22646740000346,115.20980580002652,116.20977540002787,1.8502058000012767,0.787443599983817,"[1, 0, 0]",1,114.2264378000109,116.22645990000456,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
5,"[0, 0]",1,0,21,21,21,,,None,None,"[1, 0, 0]",116.24312360002659,118.24313770001754,116.24312360002659,117.24308070002007,117.22645800001919,118.22647120000329,1.8878493999945931,0.0,"[1, 0, 0]",1,116.24312360002659,118.24313770001754,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
1,"[-0.2, 0.2]",0,0,22,22,22,,,None,None,"[0, 0, 0]",118.25981770001817,120.2598152999999,118.25981770001817,119.25983760002418,119.24314810000942,120.24315270001534,,,"[0, 0, 0]",0,118.25981770001817,120.2598152999999,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
7,"[-0.2, -0.2]",0,0,23,23,23,,,None,None,"[1, 0, 0]",120.27649340001517,122.27649400001974,120.27649340001517,121.27648570001475,121.25984570002765,122.25986120000016,1.7502744999947026,1.5553623999876436,"[1, 0, 0]",0,120.27649340001517,122.27649400001974,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
9,"[0.2, -0.2]",0,0,24,24,24,,,None,None,"[0, 0, 0]",122.29314140000497,124.29318260002765,122.29314140000497,123.29318490001606,123.27652430001763,124.27652060001856,,,"[0, 0, 0]",1,122.29314140000497,124.29318260002765,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
3,"[0.2, 0.2]",0,0,25,25,25,,,None,None,"[0, 0, 0]",124.30987490000552,126.30988320001052,124.30987490000552,125.30986320000375,125.29319380002562,126.29321090001031,,,"[0, 0, 0]",0,124.30987490000552,126.30988320001052,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
9,"[0.2, -0.2]",1,0,26,26,26,,,None,None,"[0, 0, 0]",126.32654950002325,128.32658000002266,126.32654950002325,127.32655260001775,127.30990230001044,128.30991450001602,,,"[0, 0, 0]",1,126.32654950002325,128.32658000002266,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
6,"[0.2, 0]",0,0,27,27,27,,,None,None,"[0, 0, 0]",128.34322370000882,130.34324260000722,128.34322370000882,129.34325330000138,129.3265690000262,130.32659320000676,,,"[0, 0, 0]",1,128.34322370000882,130.34324260000722,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
2,"[0, 0.2]",0,0,28,28,28,,,None,None,"[0, 0, 0]",130.3599194000126,132.3599393000186,130.3599194000126,131.35994000002393,131.34325410000747,132.3432548000128,,,"[0, 0, 0]",1,130.3599194000126,132.3599393000186,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
5,"[0, 0]",0,0,29,29,29,,,None,None,"[0, 0, 0]",132.37659379999968,134.37662180000916,132.37659379999968,133.3766041000199,133.35995010001352,134.35994040002697,,,"[0, 0, 0]",1,132.37659379999968,134.37662180000916,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
,,,,,,,,,,,,,,,,,,,,,,,,134.39329550002003,None,space,134.39329550002003,None,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
